method,task,regime,mean_success_rate,mean_false_revision_rate,mean_missed_violation_rate,mean_belief_consistency,mean_recovery_success,mean_damage_rate,mean_intervention_cost,mean_calibration_error,ci95_success_rate,ci95_false_revision_rate,ci95_missed_violation_rate,ci95_belief_consistency,ci95_recovery_success,ci95_damage_rate,ci95_intervention_cost,ci95_calibration_error,groups
conformal_intervention_filter,bin_packing_recovery,actuator_model_break,0.492063,0.233578,0.286108,0.440132,0.413476,0.104685,0.252887,0.093668,0.037503,0.001550,0.002196,0.007054,0.009942,0.002160,0.002250,0.001953,7
conformal_intervention_filter,bin_packing_recovery,combined_intervention_stress,0.474206,0.252364,0.308781,0.422078,0.391571,0.112155,0.264747,0.103473,0.028753,0.002742,0.002260,0.010340,0.004667,0.002717,0.002954,0.001918,7
conformal_intervention_filter,bin_packing_recovery,contact_precondition_failure,0.521825,0.233237,0.283586,0.445828,0.417062,0.102145,0.252050,0.091119,0.037030,0.002384,0.003541,0.005213,0.005503,0.002542,0.001872,0.002088,7
conformal_intervention_filter,bin_packing_recovery,environment_change_intervention,0.527778,0.237043,0.287302,0.439792,0.407483,0.102868,0.255542,0.094949,0.045241,0.003786,0.003667,0.005551,0.007259,0.001634,0.001991,0.002864,7
conformal_intervention_filter,bin_packing_recovery,false_human_hint,0.545635,0.220012,0.272380,0.453990,0.432583,0.096627,0.246469,0.086509,0.032922,0.003764,0.004816,0.006566,0.008565,0.002349,0.002698,0.003676,7
conformal_intervention_filter,bin_packing_recovery,noisy_observation,0.581349,0.217459,0.265459,0.460113,0.435832,0.095723,0.242918,0.083273,0.054583,0.005481,0.003392,0.006127,0.007265,0.001703,0.002516,0.002508,7
conformal_intervention_filter,bin_packing_recovery,nominal,0.599206,0.198729,0.240695,0.480060,0.455093,0.087727,0.230812,0.076523,0.028753,0.002941,0.003066,0.007031,0.009166,0.002589,0.002499,0.001125,7
conformal_intervention_filter,bin_packing_recovery,physical_rule_violation,0.539683,0.229621,0.276576,0.451618,0.424479,0.100135,0.249747,0.089835,0.020942,0.002570,0.004774,0.006373,0.006939,0.000634,0.001293,0.002284,7
conformal_intervention_filter,deformable_contact_replan,actuator_model_break,0.513889,0.233530,0.288126,0.444483,0.408940,0.102243,0.254102,0.092482,0.025893,0.003864,0.001729,0.005379,0.007216,0.000541,0.002745,0.001390,7
conformal_intervention_filter,deformable_contact_replan,combined_intervention_stress,0.430556,0.255925,0.312728,0.414624,0.392467,0.111076,0.265418,0.103012,0.031434,0.003958,0.005012,0.008029,0.006253,0.001705,0.001896,0.001946,7
conformal_intervention_filter,deformable_contact_replan,contact_precondition_failure,0.561508,0.232495,0.279008,0.446771,0.426035,0.102786,0.252596,0.090683,0.025796,0.005237,0.004390,0.002211,0.007058,0.001591,0.004040,0.003042,7
conformal_intervention_filter,deformable_contact_replan,environment_change_intervention,0.553571,0.236597,0.289501,0.439383,0.417707,0.103250,0.254577,0.095963,0.040910,0.003428,0.003768,0.005378,0.008875,0.002750,0.003041,0.002305,7
conformal_intervention_filter,deformable_contact_replan,false_human_hint,0.551587,0.222331,0.272160,0.454172,0.424751,0.097951,0.244914,0.086138,0.011449,0.003971,0.004669,0.007902,0.006535,0.002451,0.003462,0.001739,7
conformal_intervention_filter,deformable_contact_replan,noisy_observation,0.547619,0.220365,0.262912,0.460673,0.437661,0.094758,0.243103,0.084002,0.039786,0.003009,0.001791,0.007557,0.006967,0.001798,0.003455,0.001861,7
conformal_intervention_filter,deformable_contact_replan,nominal,0.632937,0.202052,0.244632,0.489363,0.463905,0.088363,0.231145,0.074747,0.032998,0.003284,0.005300,0.006005,0.006350,0.001839,0.001670,0.002697,7
conformal_intervention_filter,deformable_contact_replan,physical_rule_violation,0.501984,0.226851,0.275621,0.448670,0.429640,0.098680,0.249852,0.090571,0.034856,0.003383,0.004587,0.008289,0.010988,0.000652,0.001792,0.002283,7
conformal_intervention_filter,mobile_base_intervention,actuator_model_break,0.553571,0.232770,0.282323,0.445347,0.416672,0.101992,0.255994,0.094632,0.046178,0.002920,0.003856,0.005857,0.003692,0.002848,0.003496,0.002262,7
conformal_intervention_filter,mobile_base_intervention,combined_intervention_stress,0.513889,0.250793,0.309686,0.424407,0.397674,0.111148,0.268652,0.104611,0.057594,0.004033,0.004058,0.005669,0.008764,0.002443,0.002679,0.002433,7
conformal_intervention_filter,mobile_base_intervention,contact_precondition_failure,0.589286,0.229680,0.279118,0.455440,0.428188,0.099002,0.252763,0.092360,0.019574,0.004217,0.004477,0.007616,0.006488,0.003049,0.003418,0.001120,7
conformal_intervention_filter,mobile_base_intervention,environment_change_intervention,0.511905,0.236969,0.283390,0.452272,0.415859,0.103826,0.257371,0.094270,0.039147,0.002551,0.003860,0.005846,0.005649,0.002343,0.003607,0.002298,7
conformal_intervention_filter,mobile_base_intervention,false_human_hint,0.553571,0.220403,0.268993,0.460923,0.443587,0.097294,0.245203,0.087483,0.032225,0.003722,0.003584,0.007774,0.008483,0.001692,0.002587,0.001746,7
conformal_intervention_filter,mobile_base_intervention,noisy_observation,0.531746,0.215477,0.266435,0.464381,0.434105,0.095639,0.242856,0.083046,0.046287,0.003728,0.003174,0.003773,0.006365,0.002219,0.002664,0.002354,7
conformal_intervention_filter,mobile_base_intervention,nominal,0.640873,0.197576,0.240279,0.489581,0.469011,0.086233,0.232544,0.075847,0.032768,0.003905,0.004679,0.010109,0.008413,0.001376,0.003976,0.002361,7
conformal_intervention_filter,mobile_base_intervention,physical_rule_violation,0.573413,0.225625,0.275725,0.448324,0.427497,0.099222,0.248358,0.087601,0.051002,0.001930,0.004869,0.003140,0.008070,0.001387,0.001713,0.003146,7
conformal_intervention_filter,occluded_drawer_recovery,actuator_model_break,0.503968,0.232751,0.281638,0.449790,0.423968,0.102432,0.254281,0.093906,0.015393,0.003827,0.002571,0.006222,0.005923,0.001722,0.002216,0.001893,7
conformal_intervention_filter,occluded_drawer_recovery,combined_intervention_stress,0.460317,0.252849,0.308593,0.423901,0.397277,0.110829,0.267144,0.103807,0.033828,0.004813,0.005926,0.012028,0.012804,0.002646,0.002463,0.002057,7
conformal_intervention_filter,occluded_drawer_recovery,contact_precondition_failure,0.563492,0.228610,0.279442,0.454149,0.425453,0.101048,0.252076,0.091661,0.037030,0.004230,0.005194,0.005899,0.008928,0.002107,0.003964,0.002924,7
conformal_intervention_filter,occluded_drawer_recovery,environment_change_intervention,0.575397,0.233505,0.284816,0.444451,0.426948,0.102119,0.257443,0.093434,0.043595,0.001203,0.004147,0.009988,0.003757,0.001451,0.002963,0.001683,7
conformal_intervention_filter,occluded_drawer_recovery,false_human_hint,0.587302,0.222017,0.274490,0.459832,0.434737,0.096343,0.242076,0.086558,0.043130,0.003522,0.003713,0.006535,0.005610,0.001961,0.004070,0.002378,7
conformal_intervention_filter,occluded_drawer_recovery,noisy_observation,0.577381,0.217958,0.265039,0.467131,0.446007,0.094976,0.239743,0.085415,0.035571,0.004224,0.004271,0.007352,0.005986,0.001884,0.002957,0.002940,7
conformal_intervention_filter,occluded_drawer_recovery,nominal,0.625000,0.198535,0.241613,0.485777,0.460118,0.087327,0.232656,0.075175,0.052127,0.003782,0.004618,0.005861,0.010726,0.001937,0.002220,0.001574,7
conformal_intervention_filter,occluded_drawer_recovery,physical_rule_violation,0.541667,0.226428,0.274686,0.461717,0.429110,0.100137,0.247517,0.091527,0.030867,0.003743,0.004644,0.007858,0.007394,0.002118,0.002773,0.001642,7
conformal_intervention_filter,payload_shift_pick,actuator_model_break,0.531746,0.231861,0.285266,0.446846,0.413164,0.101191,0.252512,0.092405,0.021999,0.003067,0.005328,0.007919,0.008786,0.003053,0.002108,0.001421,7
conformal_intervention_filter,payload_shift_pick,combined_intervention_stress,0.476190,0.251465,0.308700,0.416090,0.397760,0.110702,0.264794,0.102864,0.035501,0.004945,0.004516,0.008312,0.007474,0.001380,0.001747,0.003534,7
conformal_intervention_filter,payload_shift_pick,contact_precondition_failure,0.567460,0.229194,0.281399,0.452004,0.430453,0.102034,0.251309,0.093413,0.057419,0.003218,0.003404,0.004436,0.003168,0.001634,0.000912,0.001387,7
conformal_intervention_filter,payload_shift_pick,environment_change_intervention,0.523810,0.234950,0.288476,0.443841,0.419602,0.103828,0.253315,0.092824,0.063067,0.003681,0.005755,0.005321,0.006513,0.001416,0.004166,0.001840,7
conformal_intervention_filter,payload_shift_pick,false_human_hint,0.531746,0.222096,0.268710,0.462006,0.429137,0.096606,0.248043,0.088500,0.052030,0.001665,0.002790,0.008460,0.006009,0.001169,0.004132,0.001807,7
conformal_intervention_filter,payload_shift_pick,noisy_observation,0.603175,0.219099,0.263289,0.466506,0.443169,0.094297,0.244233,0.083816,0.056623,0.003156,0.003245,0.006249,0.010730,0.002790,0.002017,0.002436,7
conformal_intervention_filter,payload_shift_pick,nominal,0.638889,0.200068,0.242198,0.489596,0.464765,0.085013,0.231245,0.075885,0.027863,0.003310,0.003943,0.005310,0.005060,0.001968,0.001737,0.003477,7
conformal_intervention_filter,payload_shift_pick,physical_rule_violation,0.567460,0.229274,0.276395,0.458649,0.423546,0.100823,0.250512,0.090253,0.028753,0.003481,0.004018,0.010091,0.008252,0.002097,0.003572,0.001456,7
conformal_intervention_filter,tool_use_correction,actuator_model_break,0.555556,0.234104,0.283266,0.447125,0.422479,0.102452,0.249352,0.093092,0.037570,0.004290,0.002403,0.006922,0.009941,0.001696,0.002108,0.000987,7
conformal_intervention_filter,tool_use_correction,combined_intervention_stress,0.482143,0.251379,0.307599,0.422520,0.394622,0.110297,0.265749,0.102716,0.021182,0.002839,0.003062,0.004571,0.011622,0.002398,0.002549,0.002389,7
conformal_intervention_filter,tool_use_correction,contact_precondition_failure,0.545635,0.231223,0.280552,0.445276,0.421114,0.101257,0.252690,0.091758,0.039276,0.002673,0.002291,0.005152,0.009022,0.003206,0.005106,0.001860,7
conformal_intervention_filter,tool_use_correction,environment_change_intervention,0.505952,0.235449,0.287455,0.443898,0.414947,0.101653,0.254508,0.093952,0.029617,0.003879,0.003410,0.005875,0.007197,0.002027,0.001393,0.002106,7
conformal_intervention_filter,tool_use_correction,false_human_hint,0.571429,0.223890,0.271348,0.451859,0.433149,0.100331,0.247236,0.084349,0.046178,0.003039,0.004582,0.007316,0.002884,0.001887,0.003033,0.001834,7
conformal_intervention_filter,tool_use_correction,noisy_observation,0.579365,0.217823,0.265047,0.464897,0.437328,0.095112,0.241178,0.084837,0.028312,0.004781,0.003416,0.006928,0.008565,0.003355,0.003585,0.002134,7
