method,task,regime,mean_success_rate,mean_false_revision_rate,mean_missed_violation_rate,mean_belief_consistency,mean_recovery_success,mean_damage_rate,mean_intervention_cost,mean_calibration_error,ci95_success_rate,ci95_false_revision_rate,ci95_missed_violation_rate,ci95_belief_consistency,ci95_recovery_success,ci95_damage_rate,ci95_intervention_cost,ci95_calibration_error,groups
conformal_intervention_filter,tool_use_correction,nominal,0.589286,0.200289,0.243017,0.491652,0.462423,0.085701,0.229618,0.074773,0.038889,0.003810,0.003760,0.005971,0.006187,0.002743,0.002924,0.001723,7
conformal_intervention_filter,tool_use_correction,physical_rule_violation,0.561508,0.229809,0.278712,0.450636,0.432510,0.100482,0.251753,0.089994,0.041095,0.004167,0.005202,0.010460,0.011957,0.001567,0.001765,0.001127,7
ensemble_disagreement_revision,bin_packing_recovery,actuator_model_break,0.482143,0.259143,0.305063,0.411749,0.385651,0.112552,0.223774,0.099457,0.033977,0.004739,0.004202,0.006413,0.003196,0.001985,0.002765,0.003222,7
ensemble_disagreement_revision,bin_packing_recovery,combined_intervention_stress,0.462302,0.280346,0.332140,0.390858,0.363322,0.122188,0.234340,0.110773,0.017536,0.004399,0.003666,0.007782,0.005302,0.002494,0.003530,0.002944,7
ensemble_disagreement_revision,bin_packing_recovery,contact_precondition_failure,0.503968,0.251630,0.301367,0.409904,0.395619,0.111343,0.223527,0.098601,0.026376,0.004808,0.003937,0.008196,0.008631,0.004286,0.004573,0.002403,7
ensemble_disagreement_revision,bin_packing_recovery,environment_change_intervention,0.480159,0.256422,0.310771,0.408916,0.387388,0.113938,0.225408,0.103729,0.041945,0.003110,0.003766,0.008377,0.006155,0.001836,0.002884,0.002345,7
ensemble_disagreement_revision,bin_packing_recovery,false_human_hint,0.501984,0.242101,0.289539,0.430560,0.405383,0.108119,0.218657,0.093877,0.054905,0.004271,0.003748,0.008006,0.005161,0.001782,0.003348,0.002146,7
ensemble_disagreement_revision,bin_packing_recovery,noisy_observation,0.533730,0.235404,0.283948,0.433446,0.417105,0.105040,0.215730,0.091828,0.043595,0.003085,0.001908,0.006844,0.006665,0.002187,0.002579,0.002384,7
ensemble_disagreement_revision,bin_packing_recovery,nominal,0.561508,0.222672,0.256080,0.451742,0.438700,0.094351,0.204520,0.080669,0.043998,0.005543,0.002160,0.006585,0.005510,0.001879,0.003223,0.001201,7
ensemble_disagreement_revision,bin_packing_recovery,physical_rule_violation,0.484127,0.248217,0.299135,0.420365,0.398201,0.108655,0.221408,0.097197,0.040910,0.005101,0.003538,0.008007,0.009092,0.003108,0.002178,0.002091,7
ensemble_disagreement_revision,deformable_contact_replan,actuator_model_break,0.478175,0.251555,0.306190,0.414166,0.399327,0.111764,0.220945,0.098198,0.074636,0.003414,0.002853,0.009589,0.008052,0.001907,0.003217,0.002214,7
ensemble_disagreement_revision,deformable_contact_replan,combined_intervention_stress,0.486111,0.275507,0.334461,0.385668,0.369758,0.120167,0.233275,0.108830,0.050406,0.003396,0.003931,0.007444,0.007763,0.003697,0.002582,0.002607,7
ensemble_disagreement_revision,deformable_contact_replan,contact_precondition_failure,0.486111,0.252595,0.303261,0.413682,0.390881,0.110389,0.219397,0.098943,0.031990,0.004094,0.003270,0.008392,0.006533,0.001225,0.003963,0.001674,7
ensemble_disagreement_revision,deformable_contact_replan,environment_change_intervention,0.521825,0.254156,0.309703,0.410790,0.385167,0.111622,0.225944,0.100837,0.044397,0.002253,0.004261,0.011106,0.011301,0.002172,0.002710,0.002441,7
ensemble_disagreement_revision,deformable_contact_replan,false_human_hint,0.549603,0.239683,0.294496,0.428299,0.409820,0.105442,0.218338,0.094769,0.049650,0.001837,0.003255,0.006389,0.010245,0.001091,0.003039,0.001954,7
ensemble_disagreement_revision,deformable_contact_replan,noisy_observation,0.539683,0.234960,0.284671,0.430429,0.413990,0.104500,0.211894,0.091572,0.035358,0.004292,0.003642,0.004471,0.002727,0.002238,0.001930,0.001710,7
ensemble_disagreement_revision,deformable_contact_replan,nominal,0.535714,0.217455,0.260274,0.452101,0.435924,0.093152,0.204588,0.080905,0.041945,0.004313,0.004396,0.006306,0.008260,0.001943,0.001633,0.001883,7
ensemble_disagreement_revision,deformable_contact_replan,physical_rule_violation,0.519841,0.248956,0.298477,0.419762,0.403633,0.108335,0.216495,0.097271,0.029617,0.002481,0.003271,0.007651,0.006577,0.002074,0.002334,0.002104,7
ensemble_disagreement_revision,mobile_base_intervention,actuator_model_break,0.539683,0.254498,0.301716,0.418427,0.398276,0.109521,0.222480,0.100152,0.039147,0.002368,0.001814,0.007444,0.009122,0.001998,0.003369,0.001513,7
ensemble_disagreement_revision,mobile_base_intervention,combined_intervention_stress,0.470238,0.273606,0.326507,0.394963,0.368025,0.120188,0.238828,0.111087,0.028133,0.004234,0.003045,0.009998,0.004596,0.001291,0.003325,0.002598,7
ensemble_disagreement_revision,mobile_base_intervention,contact_precondition_failure,0.509921,0.247619,0.295991,0.417300,0.406933,0.108745,0.224593,0.097764,0.042719,0.002484,0.004587,0.006901,0.008906,0.003481,0.003682,0.002427,7
ensemble_disagreement_revision,mobile_base_intervention,environment_change_intervention,0.500000,0.255814,0.309747,0.410126,0.390450,0.110596,0.227471,0.102876,0.044849,0.001823,0.003315,0.004350,0.003197,0.001597,0.003899,0.001371,7
ensemble_disagreement_revision,mobile_base_intervention,false_human_hint,0.555556,0.240600,0.288017,0.433943,0.411273,0.101857,0.216321,0.094875,0.026566,0.004753,0.004550,0.005800,0.008248,0.002330,0.002625,0.001731,7
ensemble_disagreement_revision,mobile_base_intervention,noisy_observation,0.539683,0.235356,0.278992,0.430623,0.408785,0.103374,0.213011,0.091496,0.042601,0.003250,0.004270,0.003770,0.010035,0.002545,0.002542,0.002090,7
ensemble_disagreement_revision,mobile_base_intervention,nominal,0.617063,0.218444,0.253115,0.460605,0.438365,0.093164,0.202881,0.080244,0.046341,0.003601,0.003208,0.007004,0.007624,0.002155,0.002086,0.001313,7
ensemble_disagreement_revision,mobile_base_intervention,physical_rule_violation,0.515873,0.246133,0.294055,0.424603,0.406184,0.108249,0.220207,0.098386,0.040039,0.004420,0.001964,0.006415,0.008433,0.002362,0.002843,0.001375,7
ensemble_disagreement_revision,occluded_drawer_recovery,actuator_model_break,0.539683,0.252674,0.300717,0.420407,0.395112,0.110674,0.223585,0.101505,0.039595,0.001184,0.003741,0.007088,0.002314,0.001844,0.002772,0.002747,7
ensemble_disagreement_revision,occluded_drawer_recovery,combined_intervention_stress,0.454365,0.274586,0.325477,0.391177,0.372286,0.119608,0.233825,0.108595,0.016499,0.005166,0.003836,0.009652,0.009061,0.000701,0.004840,0.001920,7
ensemble_disagreement_revision,occluded_drawer_recovery,contact_precondition_failure,0.513889,0.248705,0.300158,0.418685,0.398894,0.110016,0.221302,0.097242,0.036619,0.004498,0.004970,0.008442,0.010615,0.001302,0.002509,0.001428,7
ensemble_disagreement_revision,occluded_drawer_recovery,environment_change_intervention,0.513889,0.256919,0.303753,0.413731,0.390146,0.111480,0.225474,0.101130,0.050406,0.003391,0.003623,0.006272,0.006605,0.002211,0.003237,0.001812,7
ensemble_disagreement_revision,occluded_drawer_recovery,false_human_hint,0.531746,0.244288,0.287755,0.434007,0.415788,0.104179,0.215346,0.093948,0.020332,0.002914,0.002583,0.004807,0.006002,0.001175,0.002897,0.002100,7
ensemble_disagreement_revision,occluded_drawer_recovery,noisy_observation,0.581349,0.235306,0.279708,0.436277,0.416309,0.102726,0.215602,0.092200,0.051592,0.004174,0.002763,0.005324,0.009921,0.002750,0.004999,0.000727,7
ensemble_disagreement_revision,occluded_drawer_recovery,nominal,0.573413,0.217313,0.258435,0.464216,0.442654,0.090980,0.204662,0.080371,0.030123,0.005080,0.002813,0.009277,0.012098,0.002108,0.003887,0.002254,7
ensemble_disagreement_revision,occluded_drawer_recovery,physical_rule_violation,0.547619,0.246911,0.292933,0.420770,0.400672,0.107253,0.219833,0.094503,0.028400,0.004812,0.003749,0.004697,0.007172,0.001330,0.003164,0.001498,7
ensemble_disagreement_revision,payload_shift_pick,actuator_model_break,0.460317,0.254692,0.304297,0.416190,0.394579,0.110267,0.225908,0.100603,0.039147,0.004682,0.004383,0.007503,0.008447,0.001536,0.002526,0.003376,7
ensemble_disagreement_revision,payload_shift_pick,combined_intervention_stress,0.416667,0.275863,0.326390,0.388490,0.368487,0.118806,0.238859,0.109905,0.041156,0.003044,0.005506,0.009223,0.007415,0.003171,0.003634,0.002258,7
ensemble_disagreement_revision,payload_shift_pick,contact_precondition_failure,0.519841,0.252864,0.299642,0.419529,0.392941,0.109839,0.222449,0.100400,0.022113,0.002527,0.003104,0.007531,0.008449,0.002328,0.003021,0.002012,7
ensemble_disagreement_revision,payload_shift_pick,environment_change_intervention,0.494048,0.258512,0.308904,0.404606,0.389797,0.112446,0.225312,0.100604,0.055680,0.004342,0.002869,0.006321,0.002702,0.001533,0.003662,0.001750,7
ensemble_disagreement_revision,payload_shift_pick,false_human_hint,0.529762,0.239761,0.290453,0.431748,0.410465,0.105534,0.218990,0.094225,0.060705,0.004739,0.001952,0.006695,0.008619,0.001911,0.004827,0.001722,7
ensemble_disagreement_revision,payload_shift_pick,noisy_observation,0.543651,0.235691,0.283222,0.428919,0.421082,0.102772,0.211713,0.092913,0.043421,0.004894,0.004149,0.004201,0.003100,0.002092,0.002495,0.002368,7
ensemble_disagreement_revision,payload_shift_pick,nominal,0.573413,0.217007,0.257765,0.455385,0.442183,0.092174,0.204725,0.081270,0.042304,0.003768,0.005383,0.008975,0.007301,0.002196,0.002712,0.001432,7
ensemble_disagreement_revision,payload_shift_pick,physical_rule_violation,0.531746,0.249471,0.295124,0.424871,0.407154,0.108624,0.223529,0.094434,0.033453,0.003702,0.002954,0.005560,0.010085,0.002210,0.003091,0.001517,7
ensemble_disagreement_revision,tool_use_correction,actuator_model_break,0.496032,0.251880,0.303900,0.416439,0.392725,0.112018,0.225212,0.098570,0.051690,0.002602,0.003128,0.007995,0.008619,0.001333,0.004083,0.002215,7
ensemble_disagreement_revision,tool_use_correction,combined_intervention_stress,0.454365,0.276298,0.330889,0.390313,0.361581,0.120253,0.236420,0.108900,0.048155,0.003675,0.002953,0.007821,0.008592,0.001840,0.002735,0.001825,7
ensemble_disagreement_revision,tool_use_correction,contact_precondition_failure,0.478175,0.251898,0.301768,0.419518,0.393006,0.110671,0.223341,0.097247,0.028400,0.003026,0.002053,0.005360,0.007177,0.000897,0.004016,0.002173,7
ensemble_disagreement_revision,tool_use_correction,environment_change_intervention,0.507937,0.254413,0.305032,0.411193,0.389797,0.111716,0.228111,0.101458,0.031911,0.003647,0.003665,0.003505,0.008400,0.000926,0.003763,0.002103,7
ensemble_disagreement_revision,tool_use_correction,false_human_hint,0.553571,0.241444,0.291285,0.433102,0.408617,0.103789,0.218415,0.093186,0.033302,0.002791,0.004730,0.005556,0.007611,0.002511,0.002906,0.000733,7
ensemble_disagreement_revision,tool_use_correction,noisy_observation,0.545635,0.239357,0.279963,0.433082,0.413787,0.103701,0.214296,0.092556,0.033453,0.003796,0.002713,0.008583,0.010658,0.002565,0.002639,0.001140,7
ensemble_disagreement_revision,tool_use_correction,nominal,0.603175,0.220636,0.257518,0.466857,0.438873,0.094384,0.205998,0.082322,0.033529,0.004004,0.004096,0.007286,0.005989,0.002314,0.002422,0.002003,7
ensemble_disagreement_revision,tool_use_correction,physical_rule_violation,0.527778,0.247156,0.294867,0.419572,0.399275,0.107249,0.219160,0.094844,0.040290,0.004530,0.002800,0.007485,0.008337,0.002869,0.002458,0.002372,7
failure_aware_rl_recovery,bin_packing_recovery,actuator_model_break,0.553571,0.242775,0.262371,0.462833,0.488241,0.099252,0.306313,0.090125,0.028753,0.001813,0.001095,0.005691,0.006129,0.002740,0.001967,0.000890,7
failure_aware_rl_recovery,bin_packing_recovery,combined_intervention_stress,0.480159,0.260657,0.284125,0.440393,0.452881,0.108623,0.319000,0.099554,0.037030,0.002216,0.003663,0.005234,0.004129,0.002445,0.002325,0.001099,7
failure_aware_rl_recovery,bin_packing_recovery,contact_precondition_failure,0.549603,0.239961,0.259648,0.471746,0.482530,0.096814,0.302833,0.089622,0.038889,0.005851,0.003321,0.003072,0.006046,0.002785,0.002093,0.002497,7
failure_aware_rl_recovery,bin_packing_recovery,environment_change_intervention,0.571429,0.246335,0.265875,0.455610,0.475610,0.099921,0.307214,0.090338,0.046178,0.001803,0.003583,0.009346,0.006173,0.001762,0.004261,0.001971,7
failure_aware_rl_recovery,bin_packing_recovery,false_human_hint,0.585317,0.228736,0.249569,0.476926,0.495333,0.095621,0.299494,0.083983,0.040039,0.002932,0.003219,0.009749,0.007909,0.003639,0.002955,0.002384,7
failure_aware_rl_recovery,bin_packing_recovery,noisy_observation,0.601190,0.226582,0.245690,0.480394,0.502650,0.092384,0.292504,0.080378,0.066073,0.005168,0.002841,0.011646,0.005784,0.002530,0.003092,0.001858,7
failure_aware_rl_recovery,bin_packing_recovery,nominal,0.630952,0.202702,0.220474,0.510000,0.525526,0.084468,0.281084,0.073262,0.042363,0.003327,0.002631,0.006455,0.011966,0.001720,0.002008,0.002915,7
failure_aware_rl_recovery,bin_packing_recovery,physical_rule_violation,0.585317,0.231671,0.253374,0.460682,0.485919,0.094734,0.302476,0.086517,0.065729,0.003741,0.002281,0.005181,0.006054,0.001243,0.003579,0.002626,7
failure_aware_rl_recovery,deformable_contact_replan,actuator_model_break,0.533730,0.243627,0.262649,0.461398,0.479546,0.098773,0.303380,0.089503,0.063386,0.004131,0.004281,0.007562,0.007797,0.002748,0.003220,0.003150,7
failure_aware_rl_recovery,deformable_contact_replan,combined_intervention_stress,0.513889,0.261973,0.281686,0.434960,0.459925,0.105243,0.316943,0.098778,0.060871,0.002667,0.002553,0.006027,0.007200,0.003324,0.001824,0.002102,7
failure_aware_rl_recovery,deformable_contact_replan,contact_precondition_failure,0.563492,0.240813,0.255026,0.466069,0.489524,0.100337,0.299607,0.089244,0.086260,0.003251,0.002572,0.007018,0.004704,0.000654,0.002264,0.002141,7
failure_aware_rl_recovery,deformable_contact_replan,environment_change_intervention,0.589286,0.245661,0.262874,0.461592,0.481302,0.100736,0.306052,0.090653,0.049293,0.007207,0.004786,0.008103,0.005769,0.002544,0.003088,0.001485,7
failure_aware_rl_recovery,deformable_contact_replan,false_human_hint,0.597222,0.229097,0.244177,0.474302,0.490318,0.093849,0.293722,0.082669,0.060871,0.003317,0.004406,0.010378,0.004204,0.002361,0.002197,0.002252,7
failure_aware_rl_recovery,deformable_contact_replan,noisy_observation,0.551587,0.221770,0.246027,0.474169,0.497851,0.091646,0.292735,0.081460,0.045129,0.003662,0.004013,0.008723,0.007152,0.002447,0.002389,0.001450,7
failure_aware_rl_recovery,deformable_contact_replan,nominal,0.670635,0.205744,0.222879,0.504342,0.521240,0.084273,0.278859,0.074380,0.018515,0.003270,0.003144,0.002626,0.010610,0.001764,0.003932,0.002563,7
failure_aware_rl_recovery,deformable_contact_replan,physical_rule_violation,0.567460,0.234850,0.252919,0.467960,0.485472,0.096283,0.301538,0.086272,0.035854,0.003234,0.002494,0.007449,0.002352,0.001034,0.002270,0.001558,7
failure_aware_rl_recovery,mobile_base_intervention,actuator_model_break,0.553571,0.237878,0.258903,0.469338,0.479031,0.098618,0.303984,0.090145,0.033828,0.003882,0.002317,0.005400,0.013601,0.002068,0.001996,0.002080,7
failure_aware_rl_recovery,mobile_base_intervention,combined_intervention_stress,0.484127,0.258872,0.284190,0.451558,0.456813,0.107702,0.317974,0.099128,0.047682,0.001502,0.002974,0.008355,0.006726,0.001912,0.001237,0.001361,7
failure_aware_rl_recovery,mobile_base_intervention,contact_precondition_failure,0.531746,0.234006,0.255110,0.460474,0.490980,0.095751,0.301389,0.087792,0.036481,0.003420,0.003531,0.005035,0.004997,0.002775,0.002134,0.002208,7
failure_aware_rl_recovery,mobile_base_intervention,environment_change_intervention,0.571429,0.238605,0.261868,0.464312,0.477549,0.098789,0.304968,0.090724,0.042184,0.003319,0.005006,0.005311,0.008838,0.003239,0.001156,0.002379,7
failure_aware_rl_recovery,mobile_base_intervention,false_human_hint,0.601190,0.227384,0.245975,0.480828,0.492278,0.092530,0.296072,0.085641,0.057199,0.003171,0.004294,0.007540,0.005713,0.002383,0.003166,0.000891,7
failure_aware_rl_recovery,mobile_base_intervention,noisy_observation,0.625000,0.220804,0.243775,0.486831,0.503678,0.090255,0.292087,0.081412,0.031434,0.002202,0.003518,0.006927,0.005809,0.002569,0.003080,0.001476,7
failure_aware_rl_recovery,mobile_base_intervention,nominal,0.672619,0.206401,0.221699,0.512980,0.527043,0.082672,0.278767,0.073626,0.037503,0.004967,0.004285,0.006358,0.005480,0.002741,0.001376,0.002072,7
failure_aware_rl_recovery,mobile_base_intervention,physical_rule_violation,0.589286,0.231347,0.249934,0.478810,0.492471,0.094383,0.300759,0.085158,0.042778,0.003522,0.002937,0.008502,0.006009,0.002169,0.002733,0.002311,7
failure_aware_rl_recovery,occluded_drawer_recovery,actuator_model_break,0.521825,0.240142,0.260423,0.464173,0.482679,0.098449,0.303508,0.090759,0.026471,0.004083,0.006963,0.009586,0.007844,0.002406,0.001784,0.002087,7
