method,split,seed,mean_success_rate,mean_false_revision_rate,mean_missed_violation_rate,mean_belief_consistency,mean_recovery_success,mean_damage_rate,mean_intervention_cost,mean_calibration_error,ci95_success_rate,ci95_false_revision_rate,ci95_missed_violation_rate,ci95_belief_consistency,ci95_recovery_success,ci95_damage_rate,ci95_intervention_cost,ci95_calibration_error,groups
conformal_intervention_filter,combined_stress,0,0.539931,0.228001,0.277031,0.453434,0.426972,0.099832,0.248335,0.090188,0.022660,0.004087,0.005447,0.006271,0.005813,0.002059,0.002881,0.002176,48
conformal_intervention_filter,combined_stress,1,0.552373,0.227817,0.275621,0.452354,0.425803,0.099772,0.249729,0.089652,0.017179,0.004291,0.005155,0.005744,0.006411,0.002053,0.002646,0.002492,48
conformal_intervention_filter,combined_stress,2,0.550926,0.228297,0.276690,0.452952,0.429676,0.099955,0.249425,0.089723,0.016075,0.004264,0.005177,0.005795,0.006014,0.001862,0.003173,0.002373,48
conformal_intervention_filter,combined_stress,3,0.549479,0.227612,0.276888,0.451473,0.428033,0.099277,0.249924,0.090013,0.019024,0.004433,0.005470,0.006307,0.006774,0.002086,0.002860,0.002605,48
conformal_intervention_filter,combined_stress,4,0.544850,0.226060,0.278303,0.452459,0.424209,0.099420,0.249997,0.090033,0.018699,0.004179,0.005534,0.005613,0.005863,0.002108,0.002871,0.002376,48
conformal_intervention_filter,combined_stress,5,0.553530,0.226717,0.276012,0.455349,0.429774,0.099564,0.249346,0.089970,0.018429,0.004474,0.005306,0.005020,0.005650,0.002110,0.003082,0.002124,48
conformal_intervention_filter,combined_stress,6,0.545718,0.227428,0.278056,0.451312,0.424395,0.099632,0.249687,0.089504,0.019486,0.004379,0.005574,0.005576,0.005623,0.001993,0.003033,0.002222,48
conformal_intervention_filter,in_distribution,0,0.629919,0.190380,0.238217,0.488173,0.465241,0.089939,0.231543,0.076843,0.019512,0.004316,0.005231,0.006346,0.006081,0.001973,0.002929,0.002165,48
conformal_intervention_filter,in_distribution,1,0.635127,0.191316,0.239273,0.492713,0.464064,0.089379,0.230264,0.076795,0.018443,0.004437,0.005360,0.005479,0.005112,0.002182,0.002985,0.002433,48
conformal_intervention_filter,in_distribution,2,0.646701,0.191938,0.240142,0.488934,0.462107,0.090447,0.231011,0.077370,0.018446,0.004229,0.005485,0.005219,0.005387,0.002174,0.002806,0.002462,48
conformal_intervention_filter,in_distribution,3,0.615451,0.190690,0.239815,0.489426,0.464776,0.090213,0.232315,0.077411,0.019623,0.004230,0.005278,0.005069,0.006185,0.001911,0.002904,0.002408,48
conformal_intervention_filter,in_distribution,4,0.638889,0.191677,0.237521,0.490405,0.464221,0.089260,0.232051,0.077919,0.019503,0.004307,0.005235,0.006007,0.006485,0.002046,0.002859,0.002209,48
conformal_intervention_filter,in_distribution,5,0.648727,0.191248,0.238901,0.490783,0.463814,0.090276,0.231358,0.078125,0.021058,0.004121,0.005012,0.005949,0.006421,0.002340,0.002995,0.002096,48
conformal_intervention_filter,in_distribution,6,0.643808,0.190466,0.238477,0.488782,0.464995,0.089587,0.230586,0.076761,0.017637,0.004534,0.005124,0.006183,0.005871,0.001970,0.003136,0.002275,48
conformal_intervention_filter,long_horizon_recovery,0,0.580150,0.206419,0.255495,0.475390,0.447135,0.094229,0.238024,0.082489,0.017351,0.004537,0.005358,0.005640,0.005114,0.002127,0.002750,0.002462,48
conformal_intervention_filter,long_horizon_recovery,1,0.585069,0.208276,0.255845,0.473441,0.445500,0.094484,0.240540,0.082360,0.019174,0.004271,0.005035,0.006016,0.006281,0.002133,0.002810,0.002443,48
conformal_intervention_filter,long_horizon_recovery,2,0.579861,0.206088,0.257139,0.476101,0.447530,0.094944,0.240021,0.081624,0.019000,0.004450,0.004940,0.005203,0.005922,0.001965,0.002965,0.002228,48
conformal_intervention_filter,long_horizon_recovery,3,0.583623,0.207634,0.256288,0.474042,0.449873,0.094264,0.240169,0.082594,0.018385,0.004418,0.005256,0.005068,0.006532,0.002132,0.003084,0.002171,48
conformal_intervention_filter,long_horizon_recovery,4,0.579282,0.206323,0.257029,0.474759,0.446553,0.094933,0.238664,0.081460,0.022137,0.004155,0.005454,0.005238,0.006276,0.002241,0.003027,0.002423,48
conformal_intervention_filter,long_horizon_recovery,5,0.568576,0.206999,0.254989,0.472488,0.448755,0.093401,0.239464,0.082281,0.020575,0.004060,0.005083,0.005726,0.005183,0.001944,0.003114,0.002450,48
conformal_intervention_filter,long_horizon_recovery,6,0.583044,0.206906,0.255594,0.474648,0.448984,0.093640,0.239049,0.082048,0.022832,0.004553,0.005829,0.006152,0.005439,0.002065,0.003200,0.002428,48
conformal_intervention_filter,new_operator_interventions,0,0.595197,0.210483,0.259578,0.471058,0.445075,0.095127,0.240367,0.083587,0.019854,0.004008,0.005133,0.005000,0.006613,0.002084,0.003226,0.002197,48
conformal_intervention_filter,new_operator_interventions,1,0.590856,0.209457,0.258748,0.468919,0.445845,0.095334,0.240379,0.083488,0.019853,0.004503,0.005262,0.005886,0.005774,0.002256,0.003097,0.002519,48
conformal_intervention_filter,new_operator_interventions,2,0.594618,0.210353,0.259853,0.470489,0.442108,0.095222,0.240074,0.083582,0.022949,0.004313,0.005085,0.005849,0.005862,0.002002,0.002656,0.002417,48
conformal_intervention_filter,new_operator_interventions,3,0.593750,0.210218,0.258730,0.467300,0.442556,0.095013,0.239945,0.083234,0.021498,0.004358,0.005395,0.005739,0.006343,0.002209,0.003252,0.002255,48
conformal_intervention_filter,new_operator_interventions,4,0.600116,0.211784,0.258122,0.472126,0.447740,0.095200,0.240559,0.083158,0.018747,0.004265,0.005443,0.004974,0.006240,0.002213,0.002829,0.002114,48
conformal_intervention_filter,new_operator_interventions,5,0.587674,0.208722,0.258205,0.471344,0.442942,0.095019,0.240510,0.083120,0.019149,0.004469,0.004981,0.005140,0.006161,0.002108,0.002728,0.002333,48
conformal_intervention_filter,new_operator_interventions,6,0.601852,0.210105,0.259221,0.470533,0.446470,0.095739,0.240115,0.084038,0.017634,0.004211,0.005212,0.005495,0.006132,0.002082,0.002890,0.002401,48
conformal_intervention_filter,sparse_feedback,0,0.556134,0.225844,0.274937,0.453815,0.427161,0.099553,0.247887,0.089318,0.018087,0.004570,0.005026,0.005814,0.006120,0.002324,0.002814,0.002266,48
conformal_intervention_filter,sparse_feedback,1,0.583623,0.225817,0.275201,0.456660,0.430548,0.099246,0.248881,0.089032,0.019629,0.004182,0.005233,0.005850,0.005655,0.002031,0.003082,0.002264,48
conformal_intervention_filter,sparse_feedback,2,0.565972,0.225238,0.275960,0.454548,0.427004,0.099615,0.248531,0.088803,0.020609,0.004396,0.005053,0.005886,0.005728,0.002161,0.003304,0.002385,48
conformal_intervention_filter,sparse_feedback,3,0.572049,0.225417,0.274181,0.454127,0.428990,0.099062,0.247241,0.088641,0.018512,0.004687,0.005026,0.005135,0.005458,0.002160,0.002834,0.002363,48
conformal_intervention_filter,sparse_feedback,4,0.560475,0.226551,0.276504,0.453696,0.429552,0.099396,0.247452,0.088486,0.020449,0.004016,0.005246,0.006165,0.006053,0.002062,0.002759,0.002380,48
conformal_intervention_filter,sparse_feedback,5,0.574942,0.225408,0.273739,0.453609,0.427615,0.099277,0.247421,0.088885,0.021593,0.004210,0.005595,0.005736,0.005097,0.002189,0.002957,0.002394,48
conformal_intervention_filter,sparse_feedback,6,0.578704,0.224544,0.275400,0.457238,0.429245,0.099457,0.247046,0.089213,0.025635,0.004150,0.005413,0.006050,0.004817,0.002094,0.003032,0.002321,48
ensemble_disagreement_revision,combined_stress,0,0.522569,0.246881,0.295856,0.423506,0.402482,0.107384,0.221257,0.096514,0.016800,0.004461,0.005701,0.005221,0.005696,0.002130,0.002920,0.002258,48
ensemble_disagreement_revision,combined_stress,1,0.524595,0.248864,0.295900,0.421582,0.403359,0.107869,0.220233,0.096723,0.016437,0.004945,0.005901,0.005664,0.006420,0.002258,0.002531,0.002310,48
ensemble_disagreement_revision,combined_stress,2,0.524016,0.247305,0.294624,0.423021,0.401671,0.107537,0.220096,0.096816,0.016919,0.004741,0.005717,0.005594,0.006445,0.002099,0.002773,0.002401,48
ensemble_disagreement_revision,combined_stress,3,0.517361,0.247026,0.297067,0.422222,0.400467,0.107909,0.220411,0.096572,0.021159,0.004812,0.005699,0.005822,0.006022,0.002381,0.002744,0.002291,48
ensemble_disagreement_revision,combined_stress,4,0.519387,0.249473,0.296565,0.421411,0.401975,0.108713,0.220968,0.096916,0.018602,0.004429,0.006002,0.006884,0.006420,0.002136,0.002837,0.002485,48
ensemble_disagreement_revision,combined_stress,5,0.507812,0.246591,0.295496,0.420959,0.400964,0.107692,0.220121,0.096027,0.019803,0.004999,0.005652,0.006095,0.006936,0.002425,0.002742,0.002387,48
ensemble_disagreement_revision,combined_stress,6,0.510706,0.247311,0.294985,0.422191,0.401386,0.108080,0.220717,0.096700,0.018769,0.004252,0.005814,0.006354,0.006599,0.002374,0.002726,0.002345,48
ensemble_disagreement_revision,in_distribution,0,0.615451,0.207983,0.252954,0.463701,0.443638,0.097002,0.204212,0.083861,0.021324,0.004729,0.005805,0.005770,0.006467,0.002174,0.002749,0.002376,48
ensemble_disagreement_revision,in_distribution,1,0.616030,0.207591,0.254409,0.461214,0.439937,0.097124,0.203150,0.083210,0.021050,0.004677,0.005561,0.005978,0.006841,0.002092,0.002754,0.002400,48
ensemble_disagreement_revision,in_distribution,2,0.606481,0.209517,0.253768,0.460270,0.443112,0.097069,0.204513,0.084345,0.020382,0.004581,0.005505,0.006292,0.006015,0.002278,0.002335,0.002471,48
ensemble_disagreement_revision,in_distribution,3,0.598090,0.208501,0.254455,0.461327,0.441156,0.096911,0.203820,0.084753,0.018807,0.004659,0.005802,0.006030,0.005064,0.002475,0.002606,0.002680,48
ensemble_disagreement_revision,in_distribution,4,0.614005,0.207125,0.255051,0.461687,0.443325,0.096764,0.203330,0.084283,0.021444,0.004575,0.005271,0.005462,0.005718,0.002262,0.002757,0.002459,48
ensemble_disagreement_revision,in_distribution,5,0.624711,0.207828,0.253319,0.460207,0.440059,0.096800,0.203444,0.084170,0.017637,0.004369,0.005490,0.006163,0.006200,0.002549,0.002523,0.002573,48
ensemble_disagreement_revision,in_distribution,6,0.611690,0.208452,0.255226,0.463051,0.441374,0.097053,0.204981,0.084382,0.017496,0.004894,0.005459,0.006304,0.006555,0.002402,0.002693,0.002438,48
