method,split,seed,mean_success_rate,mean_false_revision_rate,mean_missed_violation_rate,mean_belief_consistency,mean_recovery_success,mean_damage_rate,mean_intervention_cost,mean_calibration_error,ci95_success_rate,ci95_false_revision_rate,ci95_missed_violation_rate,ci95_belief_consistency,ci95_recovery_success,ci95_damage_rate,ci95_intervention_cost,ci95_calibration_error,groups
ensemble_disagreement_revision,long_horizon_recovery,0,0.559317,0.226433,0.270915,0.447141,0.423262,0.102120,0.210804,0.090211,0.019159,0.004643,0.005461,0.006387,0.005536,0.002345,0.002686,0.002374,48
ensemble_disagreement_revision,long_horizon_recovery,1,0.547454,0.224675,0.270840,0.442395,0.425521,0.101441,0.211133,0.089755,0.016288,0.004488,0.005928,0.006720,0.006212,0.002195,0.002761,0.002516,48
ensemble_disagreement_revision,long_horizon_recovery,2,0.558449,0.224228,0.271997,0.445957,0.423880,0.100414,0.211053,0.089900,0.019737,0.004516,0.005935,0.005973,0.006099,0.002059,0.002811,0.002407,48
ensemble_disagreement_revision,long_horizon_recovery,3,0.535590,0.224503,0.270913,0.444759,0.424783,0.101614,0.212552,0.089977,0.022577,0.004786,0.005787,0.005406,0.006055,0.002417,0.002785,0.002643,48
ensemble_disagreement_revision,long_horizon_recovery,4,0.560185,0.224922,0.272077,0.445517,0.423651,0.101634,0.210861,0.089694,0.021032,0.004804,0.005792,0.006137,0.006266,0.002347,0.002554,0.002638,48
ensemble_disagreement_revision,long_horizon_recovery,5,0.542824,0.225395,0.272481,0.444483,0.427032,0.101539,0.211608,0.089739,0.024069,0.004324,0.005514,0.006078,0.006945,0.002178,0.002530,0.002297,48
ensemble_disagreement_revision,long_horizon_recovery,6,0.550347,0.227118,0.272326,0.443985,0.423841,0.101704,0.211325,0.089264,0.018280,0.004691,0.005597,0.006134,0.005381,0.002178,0.002311,0.002515,48
ensemble_disagreement_revision,new_operator_interventions,0,0.595775,0.229092,0.276439,0.443215,0.420822,0.102519,0.212623,0.091265,0.016195,0.004644,0.005673,0.005636,0.006551,0.002288,0.002612,0.002448,48
ensemble_disagreement_revision,new_operator_interventions,1,0.568287,0.227555,0.275478,0.442124,0.421136,0.103193,0.212494,0.090892,0.021040,0.004961,0.005717,0.006010,0.006018,0.002402,0.002594,0.002470,48
ensemble_disagreement_revision,new_operator_interventions,2,0.571181,0.229669,0.274218,0.439715,0.420354,0.102552,0.212699,0.090245,0.017014,0.004241,0.005600,0.005961,0.006561,0.002262,0.002706,0.002396,48
ensemble_disagreement_revision,new_operator_interventions,3,0.565972,0.228887,0.275945,0.439885,0.420119,0.102260,0.213402,0.090484,0.020988,0.004740,0.005597,0.005352,0.005669,0.002143,0.002705,0.002364,48
ensemble_disagreement_revision,new_operator_interventions,4,0.581308,0.229459,0.274887,0.441479,0.420244,0.103490,0.212647,0.090792,0.022330,0.004526,0.005957,0.005728,0.005923,0.001927,0.002711,0.002358,48
ensemble_disagreement_revision,new_operator_interventions,5,0.571759,0.228333,0.275286,0.444212,0.420037,0.102379,0.212523,0.090586,0.021358,0.004420,0.005625,0.005609,0.007001,0.002263,0.002778,0.002333,48
ensemble_disagreement_revision,new_operator_interventions,6,0.580440,0.229108,0.276562,0.441115,0.420028,0.102213,0.213060,0.090812,0.020392,0.005001,0.005551,0.005973,0.006063,0.002346,0.002598,0.002270,48
ensemble_disagreement_revision,sparse_feedback,0,0.545718,0.244931,0.292630,0.422890,0.403450,0.106930,0.218776,0.096320,0.016047,0.004796,0.005805,0.005145,0.005837,0.002191,0.002651,0.002499,48
ensemble_disagreement_revision,sparse_feedback,1,0.542824,0.243987,0.292382,0.424070,0.401903,0.107320,0.219855,0.095964,0.023545,0.004374,0.005192,0.006273,0.005319,0.002051,0.002595,0.002345,48
ensemble_disagreement_revision,sparse_feedback,2,0.550926,0.245594,0.294770,0.424407,0.406498,0.106193,0.219890,0.095972,0.019958,0.004533,0.005633,0.005747,0.005822,0.002254,0.002515,0.002449,48
ensemble_disagreement_revision,sparse_feedback,3,0.545139,0.245786,0.292505,0.425916,0.406669,0.106936,0.219933,0.096883,0.017544,0.004662,0.005283,0.006203,0.005583,0.002304,0.002725,0.002583,48
ensemble_disagreement_revision,sparse_feedback,4,0.539352,0.245703,0.292885,0.422457,0.403444,0.107651,0.220175,0.096321,0.017893,0.004840,0.005553,0.005841,0.006299,0.002100,0.002816,0.002342,48
ensemble_disagreement_revision,sparse_feedback,5,0.550926,0.245676,0.293483,0.427583,0.402293,0.107708,0.219414,0.095755,0.021358,0.004680,0.005694,0.006025,0.004911,0.002119,0.002776,0.002187,48
ensemble_disagreement_revision,sparse_feedback,6,0.534144,0.246366,0.292705,0.425664,0.405652,0.106250,0.219926,0.096732,0.018589,0.004530,0.005704,0.005577,0.006570,0.002166,0.002697,0.002664,48
failure_aware_rl_recovery,combined_stress,0,0.574074,0.233938,0.253981,0.474028,0.487993,0.095924,0.300000,0.087167,0.017764,0.004723,0.005165,0.005859,0.005219,0.002084,0.003344,0.002371,48
failure_aware_rl_recovery,combined_stress,1,0.579572,0.234353,0.252475,0.472559,0.488454,0.095203,0.299482,0.086260,0.017055,0.004455,0.005113,0.005710,0.005410,0.001967,0.003101,0.002329,48
failure_aware_rl_recovery,combined_stress,2,0.562789,0.233871,0.253241,0.473403,0.491736,0.096106,0.299328,0.087218,0.021105,0.004966,0.004835,0.005711,0.006400,0.001976,0.003343,0.001948,48
failure_aware_rl_recovery,combined_stress,3,0.573785,0.233779,0.254280,0.470994,0.485402,0.095893,0.301341,0.086257,0.019132,0.004846,0.005380,0.005497,0.005256,0.001849,0.003128,0.002098,48
failure_aware_rl_recovery,combined_stress,4,0.567998,0.234589,0.253558,0.474181,0.489938,0.096333,0.299991,0.087117,0.019524,0.004517,0.004972,0.006170,0.006422,0.001977,0.003509,0.002169,48
failure_aware_rl_recovery,combined_stress,5,0.591146,0.233001,0.253115,0.470291,0.490454,0.094947,0.300380,0.087091,0.023754,0.004496,0.004782,0.005915,0.005570,0.001907,0.003191,0.002242,48
failure_aware_rl_recovery,combined_stress,6,0.577836,0.233672,0.252816,0.471404,0.487249,0.096192,0.299865,0.086875,0.022104,0.004404,0.005371,0.005940,0.005729,0.001872,0.003241,0.002094,48
failure_aware_rl_recovery,in_distribution,0,0.655382,0.196948,0.217656,0.508902,0.521083,0.086928,0.280314,0.074129,0.017788,0.004405,0.004825,0.005693,0.005869,0.001841,0.003398,0.002348,48
failure_aware_rl_recovery,in_distribution,1,0.658275,0.196968,0.217215,0.511404,0.524415,0.087195,0.279800,0.074482,0.017992,0.004216,0.004926,0.005833,0.005062,0.002001,0.003156,0.002191,48
failure_aware_rl_recovery,in_distribution,2,0.658565,0.196623,0.217341,0.509265,0.524660,0.086830,0.279281,0.074279,0.016568,0.004384,0.004675,0.005381,0.005529,0.001925,0.003443,0.002233,48
failure_aware_rl_recovery,in_distribution,3,0.665799,0.195252,0.216159,0.509665,0.520100,0.086453,0.277882,0.074251,0.017410,0.004580,0.005292,0.005342,0.005519,0.001656,0.003311,0.002169,48
failure_aware_rl_recovery,in_distribution,4,0.642361,0.197153,0.216583,0.510396,0.523136,0.087171,0.279171,0.073853,0.019035,0.004309,0.005178,0.005834,0.005818,0.001863,0.003104,0.002089,48
failure_aware_rl_recovery,in_distribution,5,0.640046,0.197521,0.217069,0.509143,0.519625,0.086021,0.279547,0.073956,0.018797,0.004675,0.005363,0.005851,0.005484,0.001937,0.003371,0.001942,48
failure_aware_rl_recovery,in_distribution,6,0.651042,0.196585,0.217759,0.509008,0.522694,0.086374,0.278973,0.073772,0.021099,0.004706,0.004936,0.005529,0.005246,0.001867,0.003154,0.002379,48
failure_aware_rl_recovery,long_horizon_recovery,0,0.597222,0.211863,0.232429,0.494284,0.507217,0.091419,0.288273,0.078850,0.016007,0.004297,0.005200,0.005867,0.005627,0.001997,0.003152,0.002086,48
failure_aware_rl_recovery,long_horizon_recovery,1,0.604456,0.213149,0.232013,0.492429,0.507200,0.090299,0.288229,0.079016,0.018465,0.004500,0.005251,0.006250,0.005827,0.001885,0.003442,0.002270,48
failure_aware_rl_recovery,long_horizon_recovery,2,0.612558,0.213021,0.234481,0.493307,0.507196,0.090695,0.288127,0.079432,0.021171,0.004612,0.005139,0.006214,0.004647,0.001952,0.003461,0.002256,48
failure_aware_rl_recovery,long_horizon_recovery,3,0.595486,0.213227,0.233153,0.493033,0.506426,0.091128,0.287752,0.079314,0.017658,0.004460,0.005039,0.005478,0.005198,0.001966,0.003182,0.002262,48
failure_aware_rl_recovery,long_horizon_recovery,4,0.599826,0.213232,0.234001,0.494208,0.508335,0.091013,0.288346,0.079890,0.016918,0.004572,0.004923,0.004715,0.004945,0.001960,0.003063,0.002166,48
failure_aware_rl_recovery,long_horizon_recovery,5,0.591435,0.214278,0.233737,0.495247,0.506912,0.090971,0.289299,0.080040,0.021071,0.004637,0.005089,0.005673,0.005838,0.001938,0.003365,0.002324,48
failure_aware_rl_recovery,long_horizon_recovery,6,0.606481,0.213645,0.232903,0.491776,0.507655,0.090562,0.288230,0.080181,0.020590,0.004558,0.004812,0.005627,0.005659,0.001878,0.003164,0.002176,48
failure_aware_rl_recovery,new_operator_interventions,0,0.632812,0.216258,0.236583,0.493668,0.502643,0.092072,0.290892,0.081020,0.020503,0.004538,0.005106,0.005421,0.005789,0.001943,0.003145,0.001959,48
failure_aware_rl_recovery,new_operator_interventions,1,0.613715,0.215043,0.236347,0.492065,0.503330,0.090849,0.289470,0.080977,0.020306,0.004625,0.005000,0.005322,0.005577,0.001839,0.003285,0.002333,48
failure_aware_rl_recovery,new_operator_interventions,2,0.616030,0.215873,0.236820,0.491048,0.505104,0.091705,0.291805,0.081077,0.021345,0.004721,0.004920,0.005224,0.005550,0.001814,0.003142,0.002322,48
failure_aware_rl_recovery,new_operator_interventions,3,0.632813,0.216636,0.235987,0.490302,0.504820,0.091600,0.290834,0.080572,0.018886,0.004175,0.005087,0.006022,0.005548,0.001875,0.003266,0.002297,48
failure_aware_rl_recovery,new_operator_interventions,4,0.638310,0.216131,0.234445,0.489024,0.502213,0.092252,0.290117,0.080450,0.021213,0.004178,0.004887,0.005776,0.005364,0.001917,0.003195,0.002424,48
failure_aware_rl_recovery,new_operator_interventions,5,0.617477,0.216522,0.236048,0.491178,0.504235,0.092025,0.289265,0.080293,0.017701,0.004304,0.004539,0.005425,0.005559,0.001944,0.003214,0.002358,48
failure_aware_rl_recovery,new_operator_interventions,6,0.618345,0.217396,0.236090,0.490119,0.508160,0.091522,0.289336,0.081227,0.020166,0.004700,0.004649,0.006015,0.005338,0.001967,0.003267,0.002315,48
failure_aware_rl_recovery,sparse_feedback,0,0.579282,0.231956,0.251767,0.474400,0.491915,0.095239,0.299287,0.085804,0.016982,0.004357,0.005091,0.005416,0.005719,0.001732,0.002920,0.002141,48
failure_aware_rl_recovery,sparse_feedback,1,0.601563,0.232178,0.252677,0.473443,0.489633,0.095671,0.298565,0.086317,0.019438,0.004139,0.004791,0.005725,0.005551,0.001752,0.003370,0.002159,48
failure_aware_rl_recovery,sparse_feedback,2,0.607350,0.232335,0.251107,0.474781,0.490313,0.094987,0.300147,0.085883,0.020064,0.004572,0.004863,0.006668,0.005745,0.001916,0.003260,0.002265,48
failure_aware_rl_recovery,sparse_feedback,3,0.592593,0.231611,0.252568,0.473873,0.490616,0.095192,0.298591,0.085254,0.024117,0.004359,0.005160,0.005916,0.005767,0.001832,0.002988,0.002288,48
failure_aware_rl_recovery,sparse_feedback,4,0.595197,0.230918,0.251164,0.474391,0.491792,0.096216,0.299437,0.085138,0.020537,0.004503,0.005019,0.005320,0.006045,0.001916,0.003130,0.002348,48
failure_aware_rl_recovery,sparse_feedback,5,0.602431,0.231855,0.251401,0.475310,0.490620,0.096095,0.300074,0.085971,0.020722,0.004422,0.004826,0.005466,0.005305,0.001879,0.003291,0.002272,48
failure_aware_rl_recovery,sparse_feedback,6,0.600984,0.230676,0.249998,0.469901,0.490565,0.095384,0.298669,0.086469,0.018655,0.004157,0.004887,0.005430,0.004858,0.001830,0.003508,0.002087,48
human_intervention_revision,combined_stress,0,0.627894,0.220843,0.209412,0.509952,0.525994,0.086261,0.391947,0.078476,0.022867,0.004507,0.004009,0.006143,0.005273,0.001682,0.003808,0.002136,48
human_intervention_revision,combined_stress,1,0.622396,0.220326,0.209197,0.510601,0.528975,0.085989,0.392219,0.077951,0.022148,0.003871,0.004369,0.005925,0.006192,0.001771,0.003743,0.001862,48
human_intervention_revision,combined_stress,2,0.629051,0.221816,0.210603,0.512327,0.524904,0.086201,0.392985,0.079031,0.017212,0.003798,0.004427,0.006097,0.004880,0.001567,0.003654,0.002056,48
human_intervention_revision,combined_stress,3,0.632523,0.221934,0.210568,0.508726,0.527172,0.086537,0.391824,0.078383,0.017459,0.004288,0.003961,0.005470,0.004648,0.001834,0.003995,0.001888,48
human_intervention_revision,combined_stress,4,0.618345,0.221837,0.209478,0.512771,0.526168,0.086399,0.393249,0.078251,0.017251,0.004325,0.004278,0.005858,0.005471,0.001793,0.003646,0.002171,48
human_intervention_revision,combined_stress,5,0.626736,0.221493,0.210306,0.510230,0.525340,0.085378,0.393153,0.079028,0.015834,0.004379,0.004766,0.005665,0.005258,0.001798,0.003722,0.001709,48
human_intervention_revision,combined_stress,6,0.611400,0.221115,0.210643,0.511942,0.528025,0.086253,0.393645,0.078674,0.019393,0.004424,0.004751,0.005836,0.004790,0.001792,0.003382,0.001898,48
human_intervention_revision,in_distribution,0,0.695891,0.185068,0.177032,0.546103,0.559131,0.077823,0.368370,0.066334,0.018416,0.004613,0.004196,0.004757,0.005704,0.001882,0.003381,0.001926,48
human_intervention_revision,in_distribution,1,0.684317,0.185023,0.177509,0.543180,0.558782,0.077989,0.368697,0.066638,0.016919,0.004183,0.004425,0.005207,0.004927,0.001829,0.003503,0.002228,48
human_intervention_revision,in_distribution,2,0.711227,0.186089,0.177429,0.545364,0.559563,0.078220,0.366856,0.065125,0.018087,0.004288,0.004325,0.005964,0.005661,0.001850,0.003740,0.001723,48
human_intervention_revision,in_distribution,3,0.696470,0.186084,0.177951,0.544463,0.559519,0.078203,0.367704,0.065016,0.013635,0.004372,0.004315,0.005061,0.004838,0.001873,0.003731,0.001847,48
human_intervention_revision,in_distribution,4,0.701389,0.184160,0.177390,0.545598,0.559176,0.077492,0.368267,0.065603,0.016847,0.004532,0.004439,0.005800,0.005192,0.001665,0.003911,0.001884,48
human_intervention_revision,in_distribution,5,0.700810,0.186889,0.177500,0.545577,0.559053,0.078311,0.367954,0.065948,0.017402,0.004779,0.004645,0.006248,0.004866,0.001822,0.003735,0.001988,48
human_intervention_revision,in_distribution,6,0.687500,0.185667,0.178592,0.544992,0.561357,0.078047,0.367584,0.065690,0.017739,0.003970,0.004520,0.005665,0.005302,0.001868,0.003740,0.001790,48
human_intervention_revision,long_horizon_recovery,0,0.650752,0.200481,0.189624,0.530298,0.545359,0.081714,0.378960,0.072398,0.016885,0.004325,0.004771,0.005181,0.004427,0.001820,0.003780,0.001925,48
human_intervention_revision,long_horizon_recovery,1,0.638600,0.201881,0.192493,0.529859,0.546052,0.081319,0.378823,0.071346,0.015727,0.004320,0.004809,0.005538,0.005429,0.001875,0.003803,0.001988,48
human_intervention_revision,long_horizon_recovery,2,0.642361,0.201559,0.191686,0.530642,0.546867,0.081414,0.378652,0.070940,0.019292,0.004284,0.004170,0.005923,0.005203,0.001882,0.003916,0.001773,48
human_intervention_revision,long_horizon_recovery,3,0.643808,0.199717,0.191738,0.531109,0.544937,0.080872,0.378625,0.071062,0.017374,0.004653,0.004317,0.005197,0.005560,0.001847,0.003707,0.001890,48
human_intervention_revision,long_horizon_recovery,4,0.646412,0.202343,0.193008,0.532457,0.544493,0.081860,0.378544,0.071312,0.019837,0.004120,0.004677,0.005633,0.005310,0.001698,0.003489,0.002246,48
human_intervention_revision,long_horizon_recovery,5,0.646701,0.201351,0.190714,0.531268,0.544144,0.081732,0.378902,0.071994,0.017848,0.003939,0.004340,0.006006,0.005866,0.001924,0.003537,0.002053,48
human_intervention_revision,long_horizon_recovery,6,0.630208,0.201240,0.191780,0.530804,0.545071,0.082115,0.378197,0.071206,0.019345,0.004346,0.004477,0.005882,0.005395,0.001832,0.003896,0.002012,48
human_intervention_revision,new_operator_interventions,0,0.661458,0.203932,0.194300,0.527964,0.543266,0.082518,0.380423,0.072783,0.017168,0.004584,0.004558,0.005543,0.005468,0.001962,0.003712,0.001985,48
human_intervention_revision,new_operator_interventions,1,0.667535,0.203959,0.193348,0.524388,0.540705,0.082031,0.380429,0.073259,0.019016,0.004283,0.004472,0.005632,0.004396,0.001956,0.003357,0.001838,48
human_intervention_revision,new_operator_interventions,2,0.655382,0.203399,0.194470,0.526062,0.544240,0.082652,0.381182,0.072212,0.017283,0.003978,0.004584,0.005277,0.005134,0.001947,0.003786,0.001899,48
human_intervention_revision,new_operator_interventions,3,0.653356,0.204419,0.195212,0.524971,0.542298,0.082474,0.380154,0.072971,0.020214,0.004379,0.004481,0.006162,0.005020,0.001660,0.003891,0.001951,48
human_intervention_revision,new_operator_interventions,4,0.665799,0.203654,0.195412,0.528263,0.542755,0.082514,0.380758,0.072740,0.017429,0.004055,0.004523,0.005437,0.005063,0.001959,0.003789,0.001923,48
