budget,baseline,coverage_delta,breach_delta,gated_success_delta,gated_utility_delta
0.080000,conformal_intervention_filter,0.871875,-0.125521,0.653279,0.875503
0.080000,human_intervention_revision,0.866406,-0.083333,0.644585,0.856356
0.080000,active_inference_query_policy,0.857292,-0.092708,0.638000,0.851967
0.080000,causal_discovery_revision,0.252604,-0.524479,0.271737,0.574488
0.080000,proposed_intervention_violation_revision_v4_1,0.125260,-0.295052,0.140884,0.375294
0.080000,oracle_physical_belief_revision,0.000000,0.000000,-0.093490,-0.181899
0.120000,conformal_intervention_filter,0.736979,-0.138281,0.580720,0.849616
0.120000,human_intervention_revision,0.712760,-0.141927,0.556172,0.809431
0.120000,active_inference_query_policy,0.681771,-0.170573,0.536445,0.800387
0.120000,causal_discovery_revision,0.125000,-0.178125,0.198748,0.534405
0.120000,proposed_intervention_violation_revision_v4_1,0.119010,-0.007292,0.137414,0.374043
0.120000,oracle_physical_belief_revision,0.000000,0.000000,-0.093490,-0.181899
0.150000,conformal_intervention_filter,0.346094,-0.431771,0.384299,0.828562
0.150000,human_intervention_revision,0.281771,-0.417708,0.322110,0.730821
0.150000,active_inference_query_policy,0.241146,-0.466406,0.293289,0.718051
0.150000,causal_discovery_revision,0.125000,-0.001563,0.198748,0.534405
0.150000,proposed_intervention_violation_revision_v4_1,0.013281,-0.111719,0.079252,0.355573
0.150000,oracle_physical_belief_revision,0.000000,0.000000,-0.093490,-0.181899
0.200000,conformal_intervention_filter,0.125000,-0.076563,0.276458,0.829832
0.200000,human_intervention_revision,0.125000,-0.007292,0.239649,0.712659
0.200000,active_inference_query_policy,0.125000,-0.007812,0.231063,0.704121
0.200000,causal_discovery_revision,0.000781,-0.113281,0.138458,0.535189
0.200000,proposed_intervention_violation_revision_v4_1,0.000000,-0.001042,0.072001,0.353445
0.200000,oracle_physical_belief_revision,0.000000,0.000000,-0.093490,-0.181899
