method,task,regime,split,seed,episodes,success_rate,false_revision_rate,missed_violation_rate,belief_consistency,recovery_success,damage_rate,intervention_cost,calibration_error
no_revision_belief,occluded_drawer_recovery,nominal,in_distribution,0,72,0.597222,0.107122,0.322496,0.312706,0.259067,0.121225,0.040007,0.123102
no_revision_belief,occluded_drawer_recovery,nominal,in_distribution,1,72,0.500000,0.105819,0.331939,0.308793,0.296161,0.126030,0.033692,0.125340
no_revision_belief,occluded_drawer_recovery,nominal,in_distribution,2,72,0.555556,0.095714,0.332523,0.316523,0.259101,0.121080,0.044475,0.123315
no_revision_belief,occluded_drawer_recovery,nominal,in_distribution,3,72,0.638889,0.102930,0.326922,0.291109,0.280475,0.122105,0.035882,0.120729
no_revision_belief,occluded_drawer_recovery,nominal,in_distribution,4,72,0.555556,0.106845,0.326495,0.312958,0.275481,0.119917,0.043979,0.118518
no_revision_belief,occluded_drawer_recovery,nominal,in_distribution,5,72,0.527778,0.113688,0.328337,0.303750,0.286642,0.121584,0.046643,0.124138
no_revision_belief,occluded_drawer_recovery,nominal,in_distribution,6,72,0.555556,0.110090,0.327537,0.305082,0.279552,0.118883,0.039039,0.123963
no_revision_belief,occluded_drawer_recovery,nominal,new_operator_interventions,0,72,0.402778,0.122829,0.362086,0.310207,0.262345,0.125473,0.037818,0.138523
no_revision_belief,occluded_drawer_recovery,nominal,new_operator_interventions,1,72,0.500000,0.115626,0.356704,0.292962,0.249017,0.129941,0.043698,0.136194
no_revision_belief,occluded_drawer_recovery,nominal,new_operator_interventions,2,72,0.541667,0.119682,0.357675,0.288454,0.249408,0.133271,0.047010,0.135167
no_revision_belief,occluded_drawer_recovery,nominal,new_operator_interventions,3,72,0.500000,0.124453,0.357309,0.291504,0.245118,0.126788,0.040668,0.128453
no_revision_belief,occluded_drawer_recovery,nominal,new_operator_interventions,4,72,0.500000,0.121863,0.356281,0.286819,0.261484,0.129211,0.035290,0.129626
no_revision_belief,occluded_drawer_recovery,nominal,new_operator_interventions,5,72,0.555556,0.115763,0.355796,0.280766,0.252330,0.131439,0.043726,0.136925
no_revision_belief,occluded_drawer_recovery,nominal,new_operator_interventions,6,72,0.611111,0.125449,0.353181,0.291427,0.250583,0.131723,0.041034,0.129388
no_revision_belief,occluded_drawer_recovery,nominal,sparse_feedback,0,72,0.486111,0.138639,0.391383,0.252360,0.235638,0.135408,0.037680,0.133457
no_revision_belief,occluded_drawer_recovery,nominal,sparse_feedback,1,72,0.444444,0.133925,0.384260,0.253563,0.239514,0.135667,0.041604,0.136472
no_revision_belief,occluded_drawer_recovery,nominal,sparse_feedback,2,72,0.486111,0.131351,0.394219,0.258564,0.245229,0.139400,0.038078,0.131392
no_revision_belief,occluded_drawer_recovery,nominal,sparse_feedback,3,72,0.555556,0.132506,0.386042,0.237656,0.222964,0.137457,0.046111,0.138034
no_revision_belief,occluded_drawer_recovery,nominal,sparse_feedback,4,72,0.472222,0.134564,0.383628,0.261053,0.241645,0.135880,0.048556,0.134876
no_revision_belief,occluded_drawer_recovery,nominal,sparse_feedback,5,72,0.402778,0.139586,0.383586,0.239786,0.241096,0.134935,0.041725,0.130459
no_revision_belief,occluded_drawer_recovery,nominal,sparse_feedback,6,72,0.486111,0.129517,0.381049,0.247590,0.218670,0.134645,0.041305,0.133612
no_revision_belief,occluded_drawer_recovery,nominal,long_horizon_recovery,0,72,0.500000,0.122575,0.346375,0.275528,0.260959,0.128185,0.042316,0.129183
no_revision_belief,occluded_drawer_recovery,nominal,long_horizon_recovery,1,72,0.513889,0.115815,0.357014,0.318225,0.237232,0.128507,0.040041,0.128853
no_revision_belief,occluded_drawer_recovery,nominal,long_horizon_recovery,2,72,0.486111,0.128464,0.348040,0.286074,0.272067,0.131240,0.043667,0.131695
no_revision_belief,occluded_drawer_recovery,nominal,long_horizon_recovery,3,72,0.458333,0.121055,0.351530,0.297431,0.253958,0.127620,0.040072,0.130482
no_revision_belief,occluded_drawer_recovery,nominal,long_horizon_recovery,4,72,0.513889,0.122041,0.362493,0.283267,0.253191,0.129136,0.036481,0.127138
no_revision_belief,occluded_drawer_recovery,nominal,long_horizon_recovery,5,72,0.472222,0.119165,0.362331,0.272881,0.254134,0.118813,0.040567,0.126357
no_revision_belief,occluded_drawer_recovery,nominal,long_horizon_recovery,6,72,0.416667,0.107608,0.358601,0.294466,0.265452,0.131129,0.039808,0.132746
no_revision_belief,occluded_drawer_recovery,nominal,combined_stress,0,72,0.416667,0.131423,0.392479,0.258218,0.240251,0.138527,0.041622,0.134847
no_revision_belief,occluded_drawer_recovery,nominal,combined_stress,1,72,0.416667,0.133013,0.390549,0.262964,0.234502,0.132760,0.046327,0.133639
no_revision_belief,occluded_drawer_recovery,nominal,combined_stress,2,72,0.361111,0.143244,0.395007,0.263756,0.230498,0.134731,0.042629,0.139519
no_revision_belief,occluded_drawer_recovery,nominal,combined_stress,3,72,0.402778,0.137046,0.387297,0.255662,0.218405,0.137733,0.042243,0.135086
no_revision_belief,occluded_drawer_recovery,nominal,combined_stress,4,72,0.472222,0.141092,0.387681,0.264472,0.224947,0.139219,0.049354,0.136619
no_revision_belief,occluded_drawer_recovery,nominal,combined_stress,5,72,0.444444,0.131556,0.379615,0.239557,0.234185,0.135252,0.041160,0.135888
no_revision_belief,occluded_drawer_recovery,nominal,combined_stress,6,72,0.444444,0.136776,0.398119,0.241820,0.219968,0.136619,0.047355,0.135689
no_revision_belief,occluded_drawer_recovery,noisy_observation,in_distribution,0,72,0.555556,0.119218,0.378304,0.297431,0.246922,0.138977,0.033705,0.140627
no_revision_belief,occluded_drawer_recovery,noisy_observation,in_distribution,1,72,0.500000,0.124733,0.367932,0.291988,0.256287,0.135805,0.049396,0.140433
no_revision_belief,occluded_drawer_recovery,noisy_observation,in_distribution,2,72,0.375000,0.115589,0.367673,0.289858,0.255789,0.131868,0.036556,0.142328
no_revision_belief,occluded_drawer_recovery,noisy_observation,in_distribution,3,72,0.583333,0.110759,0.362956,0.272866,0.229790,0.136251,0.040577,0.137469
no_revision_belief,occluded_drawer_recovery,noisy_observation,in_distribution,4,72,0.458333,0.109246,0.359778,0.291155,0.257165,0.131224,0.039391,0.138794
no_revision_belief,occluded_drawer_recovery,noisy_observation,in_distribution,5,72,0.652778,0.117724,0.367468,0.293841,0.244965,0.133190,0.041871,0.143638
no_revision_belief,occluded_drawer_recovery,noisy_observation,in_distribution,6,72,0.513889,0.115415,0.363905,0.296667,0.262380,0.132641,0.037808,0.138825
no_revision_belief,occluded_drawer_recovery,noisy_observation,new_operator_interventions,0,72,0.402778,0.129891,0.397044,0.252240,0.233229,0.138986,0.040319,0.144544
no_revision_belief,occluded_drawer_recovery,noisy_observation,new_operator_interventions,1,72,0.472222,0.121305,0.398415,0.260587,0.220513,0.145730,0.039160,0.153654
