method,seed,success,ci95_success,utility,ci95_utility,false_revision,ci95_false_revision,missed_violation,ci95_missed_violation,belief_consistency,ci95_belief_consistency,recovery_success,ci95_recovery_success,damage_rate,ci95_damage_rate,intervention_cost,ci95_intervention_cost,revision_calibration_error,ci95_revision_calibration_error,unsafe_revision,ci95_unsafe_revision,causal_attribution_f1,ci95_causal_attribution_f1,n
active_inference_query_policy,0,0.564410,0.002767,0.179420,0.009648,0.215133,0.004136,0.324986,0.003758,0.527213,0.002797,0.469209,0.002344,0.182088,0.001541,0.338054,0.002315,0.067886,0.000459,0.140525,0.001724,0.490082,0.002160,1152
active_inference_query_policy,1,0.564013,0.002723,0.179006,0.009606,0.215542,0.004108,0.324696,0.003758,0.527430,0.002808,0.468743,0.002311,0.181880,0.001564,0.337574,0.002331,0.068260,0.000455,0.140698,0.001728,0.489575,0.002126,1152
active_inference_query_policy,2,0.564306,0.002768,0.179115,0.009666,0.215425,0.004145,0.325048,0.003752,0.527859,0.002817,0.468957,0.002351,0.182061,0.001539,0.337599,0.002328,0.067950,0.000450,0.140812,0.001731,0.489257,0.002111,1152
active_inference_query_policy,3,0.564648,0.002787,0.179175,0.009672,0.215621,0.004174,0.324971,0.003727,0.527548,0.002818,0.468788,0.002298,0.182033,0.001548,0.337771,0.002344,0.068573,0.000468,0.140738,0.001714,0.489481,0.002110,1152
active_inference_query_policy,4,0.564115,0.002769,0.179099,0.009678,0.215206,0.004160,0.325197,0.003739,0.527784,0.002825,0.469012,0.002306,0.181734,0.001548,0.337875,0.002347,0.068294,0.000481,0.140691,0.001738,0.489256,0.002129,1152
active_inference_query_policy,5,0.564251,0.002805,0.178984,0.009667,0.215859,0.004129,0.324679,0.003738,0.527633,0.002818,0.469101,0.002313,0.182156,0.001535,0.337758,0.002315,0.068187,0.000456,0.140696,0.001724,0.489908,0.002151,1152
active_inference_query_policy,6,0.565142,0.002755,0.179958,0.009637,0.215309,0.004111,0.324926,0.003724,0.527869,0.002827,0.469240,0.002346,0.182124,0.001570,0.337618,0.002339,0.068524,0.000468,0.140973,0.001737,0.489610,0.002097,1152
active_inference_query_policy,7,0.564165,0.002731,0.179087,0.009603,0.215356,0.004115,0.324652,0.003752,0.527233,0.002843,0.469204,0.002326,0.182031,0.001555,0.337912,0.002327,0.068282,0.000459,0.140789,0.001717,0.489287,0.002141,1152
active_inference_query_policy,8,0.563597,0.002797,0.178915,0.009718,0.215053,0.004130,0.325144,0.003793,0.527442,0.002850,0.469340,0.002366,0.181772,0.001547,0.338039,0.002333,0.068062,0.000469,0.140257,0.001725,0.489683,0.002135,1152
active_inference_query_policy,9,0.563696,0.002801,0.177934,0.009662,0.215650,0.004095,0.325449,0.003738,0.527387,0.002833,0.469217,0.002323,0.182279,0.001559,0.337433,0.002326,0.068133,0.000446,0.140767,0.001712,0.489511,0.002086,1152
causal_discovery_revision,0,0.600344,0.002806,0.373251,0.009699,0.148168,0.004122,0.257945,0.003775,0.621694,0.002824,0.536291,0.002324,0.164935,0.001570,0.352681,0.002317,0.067391,0.000428,0.104503,0.001730,0.579681,0.002088,1152
causal_discovery_revision,1,0.602002,0.002797,0.374080,0.009674,0.148337,0.004107,0.258784,0.003740,0.620628,0.002828,0.536604,0.002290,0.164907,0.001561,0.352460,0.002327,0.067256,0.000426,0.104467,0.001708,0.579320,0.002130,1152
causal_discovery_revision,2,0.601906,0.002815,0.373879,0.009704,0.148250,0.004120,0.258824,0.003719,0.620706,0.002833,0.536135,0.002345,0.165150,0.001562,0.352378,0.002319,0.067325,0.000442,0.104381,0.001720,0.580153,0.002141,1152
causal_discovery_revision,3,0.601729,0.002745,0.373316,0.009659,0.148894,0.004116,0.258527,0.003755,0.620518,0.002847,0.536197,0.002319,0.164833,0.001570,0.352805,0.002337,0.067669,0.000418,0.104851,0.001714,0.579979,0.002135,1152
causal_discovery_revision,4,0.601759,0.002780,0.374005,0.009676,0.148539,0.004128,0.258360,0.003741,0.620701,0.002864,0.535775,0.002331,0.164835,0.001541,0.352841,0.002331,0.067606,0.000425,0.104119,0.001717,0.580596,0.002126,1152
causal_discovery_revision,5,0.601496,0.002808,0.373109,0.009671,0.148897,0.004121,0.258895,0.003720,0.621239,0.002827,0.535953,0.002369,0.164754,0.001572,0.352600,0.002311,0.067498,0.000439,0.104734,0.001732,0.579658,0.002128,1152
causal_discovery_revision,6,0.601387,0.002792,0.373330,0.009662,0.148763,0.004122,0.258666,0.003761,0.621144,0.002818,0.536216,0.002320,0.164835,0.001547,0.352681,0.002341,0.067370,0.000447,0.104369,0.001732,0.579156,0.002089,1152
causal_discovery_revision,7,0.600432,0.002818,0.372848,0.009722,0.148318,0.004137,0.258402,0.003739,0.620845,0.002823,0.535980,0.002355,0.164890,0.001572,0.352354,0.002332,0.067360,0.000441,0.104309,0.001728,0.579600,0.002108,1152
causal_discovery_revision,8,0.601052,0.002776,0.373368,0.009672,0.148392,0.004135,0.258516,0.003768,0.620690,0.002828,0.536350,0.002334,0.164851,0.001544,0.352681,0.002319,0.066976,0.000444,0.104538,0.001728,0.580298,0.002115,1152
causal_discovery_revision,9,0.601512,0.002780,0.374638,0.009657,0.148220,0.004118,0.257708,0.003738,0.621012,0.002841,0.536192,0.002291,0.164754,0.001546,0.352417,0.002306,0.067320,0.000451,0.104356,0.001728,0.579888,0.002121,1152
causal_intervention_belief_revision_v5,0,0.740062,0.002775,0.907880,0.008549,0.022218,0.002532,0.098853,0.003505,0.817862,0.002859,0.738141,0.002294,0.111136,0.001542,0.282865,0.002309,0.053739,0.000303,0.006599,0.000877,0.739953,0.002148,1152
causal_intervention_belief_revision_v5,1,0.739950,0.002813,0.908539,0.008577,0.022482,0.002581,0.097799,0.003457,0.818506,0.002801,0.738115,0.002326,0.110963,0.001560,0.283142,0.002333,0.053953,0.000309,0.006501,0.000871,0.739913,0.002139,1152
causal_intervention_belief_revision_v5,2,0.739037,0.002802,0.906654,0.008598,0.022499,0.002565,0.098491,0.003477,0.817658,0.002837,0.737419,0.002342,0.111236,0.001552,0.282936,0.002315,0.054108,0.000308,0.006636,0.000884,0.740826,0.002132,1152
causal_intervention_belief_revision_v5,3,0.738773,0.002806,0.907226,0.008582,0.022058,0.002536,0.098260,0.003489,0.818201,0.002809,0.738032,0.002328,0.110910,0.001547,0.282881,0.002319,0.054069,0.000309,0.006623,0.000887,0.739510,0.002109,1152
causal_intervention_belief_revision_v5,4,0.738607,0.002768,0.906514,0.008555,0.022449,0.002572,0.098641,0.003515,0.817396,0.002806,0.738316,0.002336,0.110945,0.001570,0.283190,0.002323,0.053922,0.000311,0.006554,0.000874,0.740893,0.002095,1152
