budget,method,seed,accepted,ci95_accepted,breach,ci95_breach,gated_success,ci95_gated_success,gated_utility,ci95_gated_utility,predicted_revision_risk,ci95_predicted_revision_risk,realized_revision_risk,ci95_realized_revision_risk,n
0.080000,conformal_intervention_filter,4,0.127604,0.033415,0.125000,0.033122,0.075892,0.019887,-0.000533,0.013023,0.141345,0.005537,0.179820,0.004990,384
0.080000,conformal_intervention_filter,5,0.127604,0.033415,0.122396,0.032824,0.075639,0.019824,-0.000451,0.013066,0.141256,0.005527,0.180936,0.004994,384
0.080000,conformal_intervention_filter,6,0.127604,0.033415,0.127604,0.033415,0.075555,0.019797,-0.000766,0.012945,0.141527,0.005541,0.180128,0.005001,384
0.080000,conformal_intervention_filter,7,0.132812,0.033989,0.132812,0.033989,0.078346,0.020062,0.000248,0.012967,0.142710,0.005561,0.181176,0.005046,384
0.080000,conformal_intervention_filter,8,0.122396,0.032824,0.122396,0.032824,0.072417,0.019432,-0.002613,0.012737,0.141224,0.005578,0.179827,0.004918,384
0.080000,conformal_intervention_filter,9,0.125000,0.033122,0.122396,0.032824,0.074379,0.019719,-0.001235,0.012953,0.141744,0.005516,0.180514,0.004960,384
0.080000,human_intervention_revision,0,0.138021,0.034544,0.083333,0.027680,0.086914,0.021770,0.019982,0.017636,0.137215,0.005628,0.164389,0.005027,384
0.080000,human_intervention_revision,1,0.138021,0.034544,0.101562,0.030253,0.087103,0.021814,0.020212,0.017677,0.136461,0.005583,0.166010,0.004989,384
0.080000,human_intervention_revision,2,0.138021,0.034544,0.085938,0.028070,0.087114,0.021819,0.019816,0.017605,0.137072,0.005522,0.165099,0.005008,384
0.080000,human_intervention_revision,3,0.130208,0.033704,0.080729,0.027283,0.082810,0.021447,0.017567,0.017548,0.138033,0.005506,0.165439,0.004998,384
0.080000,human_intervention_revision,4,0.130208,0.033704,0.075521,0.026463,0.082680,0.021416,0.017395,0.017532,0.136855,0.005592,0.164828,0.005063,384
0.080000,human_intervention_revision,5,0.127604,0.033415,0.083333,0.027680,0.081502,0.021353,0.016582,0.017487,0.136970,0.005611,0.165627,0.005017,384
0.080000,human_intervention_revision,6,0.130208,0.033704,0.078125,0.026877,0.083135,0.021531,0.018080,0.017693,0.137639,0.005496,0.164633,0.004966,384
0.080000,human_intervention_revision,7,0.132812,0.033989,0.067708,0.025162,0.083846,0.021475,0.018709,0.017701,0.136822,0.005590,0.164916,0.005055,384
0.080000,human_intervention_revision,8,0.132812,0.033989,0.088542,0.028451,0.083884,0.021486,0.017878,0.017487,0.137427,0.005569,0.164547,0.005024,384
0.080000,human_intervention_revision,9,0.138021,0.034544,0.088542,0.028451,0.086889,0.021768,0.019860,0.017625,0.137722,0.005509,0.165630,0.005020,384
0.080000,oracle_physical_belief_revision,0,1.000000,0.000000,0.000000,0.000000,0.823098,0.005571,1.055800,0.015324,0.000000,0.000000,0.000420,0.000212,384
0.080000,oracle_physical_belief_revision,1,1.000000,0.000000,0.000000,0.000000,0.821330,0.005549,1.055846,0.015222,0.000000,0.000000,0.000355,0.000191,384
0.080000,oracle_physical_belief_revision,2,1.000000,0.000000,0.000000,0.000000,0.823053,0.005405,1.057922,0.015077,0.000000,0.000000,0.000429,0.000192,384
0.080000,oracle_physical_belief_revision,3,1.000000,0.000000,0.000000,0.000000,0.822400,0.005519,1.056624,0.015169,0.000000,0.000000,0.000245,0.000174,384
0.080000,oracle_physical_belief_revision,4,1.000000,0.000000,0.000000,0.000000,0.821553,0.005584,1.056267,0.015168,0.000000,0.000000,0.000324,0.000189,384
0.080000,oracle_physical_belief_revision,5,1.000000,0.000000,0.000000,0.000000,0.823083,0.005535,1.056709,0.015186,0.000000,0.000000,0.000377,0.000196,384
0.080000,oracle_physical_belief_revision,6,1.000000,0.000000,0.000000,0.000000,0.823145,0.005667,1.057668,0.015215,0.000000,0.000000,0.000207,0.000146,384
0.080000,oracle_physical_belief_revision,7,1.000000,0.000000,0.000000,0.000000,0.822195,0.005562,1.057498,0.015028,0.000000,0.000000,0.000123,0.000090,384
0.080000,oracle_physical_belief_revision,8,1.000000,0.000000,0.000000,0.000000,0.823112,0.005477,1.056587,0.015102,0.000000,0.000000,0.000233,0.000152,384
0.080000,oracle_physical_belief_revision,9,1.000000,0.000000,0.000000,0.000000,0.823653,0.005657,1.057718,0.015313,0.000000,0.000000,0.000342,0.000172,384
0.080000,proposed_intervention_violation_revision_v4_1,0,0.872396,0.033415,0.289062,0.045401,0.586675,0.022780,0.498839,0.024510,0.033877,0.004262,0.077115,0.004813,384
0.080000,proposed_intervention_violation_revision_v4_1,1,0.875000,0.033122,0.317708,0.046629,0.588408,0.022584,0.499173,0.024411,0.034362,0.004245,0.077863,0.004836,384
0.080000,proposed_intervention_violation_revision_v4_1,2,0.875000,0.033122,0.278646,0.044901,0.587495,0.022552,0.498286,0.024361,0.034291,0.004230,0.077462,0.004781,384
0.080000,proposed_intervention_violation_revision_v4_1,3,0.875000,0.033122,0.278646,0.044901,0.588408,0.022595,0.500278,0.024456,0.033763,0.004244,0.076582,0.004858,384
0.080000,proposed_intervention_violation_revision_v4_1,4,0.875000,0.033122,0.286458,0.045279,0.588804,0.022622,0.500287,0.024477,0.033990,0.004251,0.077303,0.004866,384
0.080000,proposed_intervention_violation_revision_v4_1,5,0.875000,0.033122,0.294271,0.045640,0.588511,0.022618,0.499448,0.024514,0.034175,0.004244,0.077473,0.004831,384
0.080000,proposed_intervention_violation_revision_v4_1,6,0.875000,0.033122,0.289062,0.045401,0.589189,0.022579,0.500627,0.024396,0.034421,0.004245,0.077295,0.004834,384
0.080000,proposed_intervention_violation_revision_v4_1,7,0.875000,0.033122,0.294271,0.045640,0.588379,0.022608,0.500331,0.024606,0.033799,0.004211,0.076852,0.004842,384
0.080000,proposed_intervention_violation_revision_v4_1,8,0.875000,0.033122,0.315104,0.046526,0.588216,0.022607,0.499402,0.024541,0.034269,0.004184,0.077218,0.004796,384
0.080000,proposed_intervention_violation_revision_v4_1,9,0.875000,0.033122,0.307292,0.046207,0.588798,0.022614,0.500030,0.024460,0.034666,0.004182,0.077441,0.004850,384
0.120000,active_inference_query_policy,0,0.351562,0.047818,0.203125,0.040293,0.211658,0.028896,0.081862,0.019652,0.132886,0.005551,0.164975,0.005069,384
0.120000,active_inference_query_policy,1,0.317708,0.046629,0.164062,0.037089,0.192123,0.028287,0.074010,0.019581,0.132758,0.005594,0.165742,0.005035,384
0.120000,active_inference_query_policy,2,0.309896,0.046315,0.164062,0.037089,0.188824,0.028296,0.073148,0.019667,0.133351,0.005516,0.165003,0.005028,384
0.120000,active_inference_query_policy,3,0.315104,0.046526,0.166667,0.037324,0.190726,0.028234,0.074663,0.019717,0.131686,0.005604,0.165749,0.005047,384
0.120000,active_inference_query_policy,4,0.333333,0.047212,0.197917,0.039903,0.200608,0.028520,0.077516,0.019633,0.133358,0.005591,0.165765,0.004959,384
0.120000,active_inference_query_policy,5,0.307292,0.046207,0.153646,0.036115,0.186718,0.028158,0.072059,0.019632,0.133153,0.005546,0.165764,0.005053,384
0.120000,active_inference_query_policy,6,0.317708,0.046629,0.177083,0.038232,0.192633,0.028357,0.074131,0.019570,0.132969,0.005546,0.166050,0.004987,384
0.120000,active_inference_query_policy,7,0.296875,0.045757,0.145833,0.035347,0.181315,0.028014,0.070490,0.019675,0.133383,0.005497,0.165909,0.004969,384
0.120000,active_inference_query_policy,8,0.333333,0.047212,0.182292,0.038667,0.201151,0.028581,0.077499,0.019553,0.133456,0.005616,0.165413,0.005094,384
0.120000,active_inference_query_policy,9,0.299479,0.045872,0.151042,0.035863,0.181517,0.027892,0.070398,0.019681,0.133296,0.005592,0.165593,0.004979,384
0.120000,causal_discovery_revision,0,0.875000,0.033122,0.184896,0.038880,0.529886,0.020393,0.340820,0.019553,0.066620,0.005012,0.109345,0.005020,384
0.120000,causal_discovery_revision,1,0.875000,0.033122,0.187500,0.039090,0.530718,0.020430,0.340511,0.019523,0.066424,0.004945,0.109396,0.005010,384
0.120000,causal_discovery_revision,2,0.875000,0.033122,0.161458,0.036851,0.529789,0.020406,0.340348,0.019505,0.067183,0.005052,0.109808,0.004973,384
0.120000,causal_discovery_revision,3,0.875000,0.033122,0.179688,0.038451,0.531426,0.020485,0.340386,0.019598,0.066562,0.004927,0.110277,0.004981,384
0.120000,causal_discovery_revision,4,0.875000,0.033122,0.208333,0.040673,0.530049,0.020412,0.340222,0.019547,0.066997,0.004918,0.109603,0.005021,384
0.120000,causal_discovery_revision,5,0.875000,0.033122,0.190104,0.039298,0.531103,0.020460,0.340692,0.019646,0.067350,0.004990,0.109294,0.004999,384
0.120000,causal_discovery_revision,6,0.875000,0.033122,0.151042,0.035863,0.529228,0.020378,0.339594,0.019448,0.066488,0.005015,0.109567,0.005042,384
0.120000,causal_discovery_revision,7,0.875000,0.033122,0.174479,0.038010,0.531054,0.020482,0.340416,0.019624,0.068026,0.004950,0.110336,0.004996,384
0.120000,causal_discovery_revision,8,0.875000,0.033122,0.174479,0.038010,0.530637,0.020445,0.341138,0.019647,0.067410,0.005021,0.109079,0.004982,384
0.120000,causal_discovery_revision,9,0.875000,0.033122,0.169271,0.037556,0.530347,0.020434,0.341471,0.019586,0.066967,0.005014,0.109314,0.004937,384
0.120000,causal_intervention_belief_revision_v5,0,1.000000,0.000000,0.000000,0.000000,0.730524,0.005582,0.875970,0.017264,0.000000,0.000000,0.005795,0.001564,384
0.120000,causal_intervention_belief_revision_v5,1,1.000000,0.000000,0.000000,0.000000,0.728329,0.005404,0.875709,0.017049,0.000000,0.000000,0.006196,0.001669,384
0.120000,causal_intervention_belief_revision_v5,2,1.000000,0.000000,0.000000,0.000000,0.729800,0.005515,0.875272,0.017178,0.000000,0.000000,0.006256,0.001697,384
0.120000,causal_intervention_belief_revision_v5,3,1.000000,0.000000,0.000000,0.000000,0.727955,0.005604,0.874241,0.017278,0.000000,0.000000,0.006258,0.001695,384
0.120000,causal_intervention_belief_revision_v5,4,1.000000,0.000000,0.000000,0.000000,0.728622,0.005390,0.873671,0.017123,0.000000,0.000000,0.006263,0.001694,384
0.120000,causal_intervention_belief_revision_v5,5,1.000000,0.000000,0.000000,0.000000,0.729059,0.005705,0.874031,0.017427,0.000000,0.000000,0.005997,0.001613,384
0.120000,causal_intervention_belief_revision_v5,6,1.000000,0.000000,0.000000,0.000000,0.727627,0.005466,0.874264,0.017157,0.000000,0.000000,0.005992,0.001615,384
0.120000,causal_intervention_belief_revision_v5,7,1.000000,0.000000,0.000000,0.000000,0.731025,0.005492,0.875479,0.017161,0.000000,0.000000,0.006341,0.001721,384
0.120000,causal_intervention_belief_revision_v5,8,1.000000,0.000000,0.000000,0.000000,0.729832,0.005488,0.876530,0.017102,0.000000,0.000000,0.006002,0.001625,384
0.120000,causal_intervention_belief_revision_v5,9,1.000000,0.000000,0.000000,0.000000,0.728947,0.005577,0.874481,0.017264,0.000000,0.000000,0.005981,0.001617,384
0.120000,conformal_intervention_filter,0,0.268229,0.044371,0.140625,0.034816,0.151672,0.025155,0.025626,0.013785,0.141459,0.005661,0.180055,0.004995,384
0.120000,conformal_intervention_filter,1,0.268229,0.044371,0.143229,0.035084,0.151061,0.025054,0.026138,0.013852,0.141415,0.005601,0.180227,0.005053,384
0.120000,conformal_intervention_filter,2,0.260417,0.043953,0.135417,0.034269,0.147596,0.024970,0.025714,0.013856,0.141767,0.005590,0.180312,0.005079,384
0.120000,conformal_intervention_filter,3,0.260417,0.043953,0.132812,0.033989,0.147043,0.024875,0.025922,0.013842,0.140850,0.005608,0.179335,0.005021,384
0.120000,conformal_intervention_filter,4,0.265625,0.044233,0.143229,0.035084,0.149617,0.024983,0.025528,0.013740,0.141345,0.005537,0.179820,0.004990,384
0.120000,conformal_intervention_filter,5,0.268229,0.044371,0.143229,0.035084,0.151324,0.025097,0.025994,0.013849,0.141256,0.005527,0.180936,0.004994,384
0.120000,conformal_intervention_filter,6,0.255208,0.043664,0.135417,0.034269,0.143723,0.024652,0.023636,0.013673,0.141527,0.005541,0.180128,0.005001,384
0.120000,conformal_intervention_filter,7,0.252604,0.043516,0.127604,0.033415,0.143063,0.024702,0.024273,0.013743,0.142710,0.005561,0.181176,0.005046,384
0.120000,conformal_intervention_filter,8,0.273438,0.044640,0.148438,0.035607,0.153648,0.025146,0.026007,0.013658,0.141224,0.005578,0.179827,0.004918,384
0.120000,conformal_intervention_filter,9,0.257812,0.043809,0.132812,0.033989,0.145775,0.024837,0.024655,0.013766,0.141744,0.005516,0.180514,0.004960,384
0.120000,human_intervention_revision,0,0.291667,0.045522,0.151042,0.035863,0.175564,0.027470,0.066844,0.019337,0.137215,0.005628,0.164389,0.005027,384
0.120000,human_intervention_revision,1,0.299479,0.045872,0.151042,0.035863,0.179676,0.027591,0.068262,0.019280,0.136461,0.005583,0.166010,0.004989,384
0.120000,human_intervention_revision,2,0.281250,0.045029,0.138021,0.034544,0.169863,0.027259,0.064814,0.019317,0.137072,0.005522,0.165099,0.005008,384
0.120000,human_intervention_revision,3,0.273438,0.044640,0.135417,0.034269,0.165446,0.027080,0.062329,0.019311,0.138033,0.005506,0.165439,0.004998,384
0.120000,human_intervention_revision,4,0.289062,0.045401,0.143229,0.035084,0.173366,0.027318,0.065614,0.019304,0.136855,0.005592,0.164828,0.005063,384
0.120000,human_intervention_revision,5,0.294271,0.045640,0.140625,0.034816,0.177450,0.027601,0.067074,0.019322,0.136970,0.005611,0.165627,0.005017,384
0.120000,human_intervention_revision,6,0.283854,0.045155,0.140625,0.034816,0.172178,0.027460,0.066016,0.019506,0.137639,0.005496,0.164633,0.004966,384
0.120000,human_intervention_revision,7,0.276042,0.044771,0.127604,0.033415,0.166311,0.027040,0.062786,0.019350,0.136822,0.005590,0.164916,0.005055,384
0.120000,human_intervention_revision,8,0.294271,0.045640,0.148438,0.035607,0.176323,0.027424,0.066031,0.019193,0.137427,0.005569,0.164547,0.005024,384
0.120000,human_intervention_revision,9,0.289062,0.045401,0.143229,0.035084,0.173828,0.027374,0.065564,0.019244,0.137722,0.005509,0.165630,0.005020,384
0.120000,oracle_physical_belief_revision,0,1.000000,0.000000,0.000000,0.000000,0.823098,0.005571,1.055800,0.015324,0.000000,0.000000,0.000420,0.000212,384
0.120000,oracle_physical_belief_revision,1,1.000000,0.000000,0.000000,0.000000,0.821330,0.005549,1.055846,0.015222,0.000000,0.000000,0.000355,0.000191,384
0.120000,oracle_physical_belief_revision,2,1.000000,0.000000,0.000000,0.000000,0.823053,0.005405,1.057922,0.015077,0.000000,0.000000,0.000429,0.000192,384
0.120000,oracle_physical_belief_revision,3,1.000000,0.000000,0.000000,0.000000,0.822400,0.005519,1.056624,0.015169,0.000000,0.000000,0.000245,0.000174,384
0.120000,oracle_physical_belief_revision,4,1.000000,0.000000,0.000000,0.000000,0.821553,0.005584,1.056267,0.015168,0.000000,0.000000,0.000324,0.000189,384
0.120000,oracle_physical_belief_revision,5,1.000000,0.000000,0.000000,0.000000,0.823083,0.005535,1.056709,0.015186,0.000000,0.000000,0.000377,0.000196,384
0.120000,oracle_physical_belief_revision,6,1.000000,0.000000,0.000000,0.000000,0.823145,0.005667,1.057668,0.015215,0.000000,0.000000,0.000207,0.000146,384
0.120000,oracle_physical_belief_revision,7,1.000000,0.000000,0.000000,0.000000,0.822195,0.005562,1.057498,0.015028,0.000000,0.000000,0.000123,0.000090,384
0.120000,oracle_physical_belief_revision,8,1.000000,0.000000,0.000000,0.000000,0.823112,0.005477,1.056587,0.015102,0.000000,0.000000,0.000233,0.000152,384
0.120000,oracle_physical_belief_revision,9,1.000000,0.000000,0.000000,0.000000,0.823653,0.005657,1.057718,0.015313,0.000000,0.000000,0.000342,0.000172,384
0.120000,proposed_intervention_violation_revision_v4_1,0,0.877604,0.032824,0.002604,0.005104,0.589714,0.022381,0.500498,0.024259,0.033877,0.004262,0.077115,0.004813,384
0.120000,proposed_intervention_violation_revision_v4_1,1,0.875000,0.033122,0.002604,0.005104,0.588408,0.022584,0.499173,0.024411,0.034362,0.004245,0.077863,0.004836,384
0.120000,proposed_intervention_violation_revision_v4_1,2,0.880208,0.032521,0.007812,0.008818,0.590493,0.022147,0.499361,0.024163,0.034291,0.004230,0.077462,0.004781,384
0.120000,proposed_intervention_violation_revision_v4_1,3,0.882812,0.032213,0.007812,0.008818,0.592755,0.021985,0.501825,0.024170,0.033763,0.004244,0.076582,0.004858,384
0.120000,proposed_intervention_violation_revision_v4_1,4,0.882812,0.032213,0.013021,0.011354,0.593188,0.022010,0.501854,0.024187,0.033990,0.004251,0.077303,0.004866,384
0.120000,proposed_intervention_violation_revision_v4_1,5,0.880208,0.032521,0.007812,0.008818,0.591422,0.022214,0.500460,0.024326,0.034175,0.004244,0.077473,0.004831,384
0.120000,proposed_intervention_violation_revision_v4_1,6,0.880208,0.032521,0.005208,0.007209,0.591934,0.022177,0.501520,0.024224,0.034421,0.004245,0.077295,0.004834,384
0.120000,proposed_intervention_violation_revision_v4_1,7,0.888021,0.031582,0.013021,0.011354,0.595542,0.021578,0.502598,0.024174,0.033799,0.004211,0.076852,0.004842,384
0.120000,proposed_intervention_violation_revision_v4_1,8,0.882812,0.032213,0.007812,0.008818,0.592476,0.021998,0.500897,0.024262,0.034269,0.004184,0.077218,0.004796,384
0.120000,proposed_intervention_violation_revision_v4_1,9,0.880208,0.032521,0.005208,0.007209,0.591643,0.022210,0.501033,0.024273,0.034666,0.004182,0.077441,0.004850,384
0.150000,active_inference_query_policy,0,0.765625,0.042425,0.466146,0.049961,0.440348,0.024661,0.159137,0.016543,0.132886,0.005551,0.164975,0.005069,384
0.150000,active_inference_query_policy,1,0.757812,0.042906,0.463542,0.049942,0.435154,0.024880,0.156462,0.016536,0.132758,0.005594,0.165742,0.005035,384
0.150000,active_inference_query_policy,2,0.750000,0.043367,0.466146,0.049961,0.431856,0.025207,0.155262,0.016673,0.133351,0.005516,0.165003,0.005028,384
0.150000,active_inference_query_policy,3,0.768229,0.042260,0.471354,0.049993,0.441865,0.024531,0.159947,0.016517,0.131686,0.005604,0.165749,0.005047,384
0.150000,active_inference_query_policy,4,0.755208,0.043061,0.458333,0.049901,0.433147,0.024949,0.156317,0.016615,0.133358,0.005591,0.165765,0.004959,384
0.150000,active_inference_query_policy,5,0.770833,0.042093,0.481771,0.050042,0.443128,0.024451,0.159315,0.016407,0.133153,0.005546,0.165764,0.005053,384
0.150000,active_inference_query_policy,6,0.760417,0.042748,0.468750,0.049978,0.437274,0.024825,0.156574,0.016473,0.132969,0.005546,0.166050,0.004987,384
0.150000,active_inference_query_policy,7,0.765625,0.042425,0.481771,0.050042,0.438627,0.024577,0.156993,0.016509,0.133383,0.005497,0.165909,0.004969,384
0.150000,active_inference_query_policy,8,0.752604,0.043215,0.450521,0.049830,0.432237,0.025062,0.155992,0.016552,0.133456,0.005616,0.165413,0.005094,384
0.150000,active_inference_query_policy,9,0.742188,0.043809,0.455729,0.049879,0.425190,0.025341,0.153137,0.016770,0.133296,0.005592,0.165593,0.004979,384
0.150000,causal_discovery_revision,0,0.875000,0.033122,0.002604,0.005104,0.529886,0.020393,0.340820,0.019553,0.066620,0.005012,0.109345,0.005020,384
0.150000,causal_discovery_revision,1,0.875000,0.033122,0.005208,0.007209,0.530718,0.020430,0.340511,0.019523,0.066424,0.004945,0.109396,0.005010,384
0.150000,causal_discovery_revision,2,0.875000,0.033122,0.002604,0.005104,0.529789,0.020406,0.340348,0.019505,0.067183,0.005052,0.109808,0.004973,384
0.150000,causal_discovery_revision,3,0.875000,0.033122,0.000000,0.000000,0.531426,0.020485,0.340386,0.019598,0.066562,0.004927,0.110277,0.004981,384
0.150000,causal_discovery_revision,4,0.875000,0.033122,0.005208,0.007209,0.530049,0.020412,0.340222,0.019547,0.066997,0.004918,0.109603,0.005021,384
0.150000,causal_discovery_revision,5,0.875000,0.033122,0.000000,0.000000,0.531103,0.020460,0.340692,0.019646,0.067350,0.004990,0.109294,0.004999,384
0.150000,causal_discovery_revision,6,0.875000,0.033122,0.000000,0.000000,0.529228,0.020378,0.339594,0.019448,0.066488,0.005015,0.109567,0.005042,384
0.150000,causal_discovery_revision,7,0.875000,0.033122,0.000000,0.000000,0.531054,0.020482,0.340416,0.019624,0.068026,0.004950,0.110336,0.004996,384
0.150000,causal_discovery_revision,8,0.875000,0.033122,0.000000,0.000000,0.530637,0.020445,0.341138,0.019647,0.067410,0.005021,0.109079,0.004982,384
0.150000,causal_discovery_revision,9,0.875000,0.033122,0.000000,0.000000,0.530347,0.020434,0.341471,0.019586,0.066967,0.005014,0.109314,0.004937,384
0.150000,causal_intervention_belief_revision_v5,0,1.000000,0.000000,0.000000,0.000000,0.730524,0.005582,0.875970,0.017264,0.000000,0.000000,0.005795,0.001564,384
0.150000,causal_intervention_belief_revision_v5,1,1.000000,0.000000,0.000000,0.000000,0.728329,0.005404,0.875709,0.017049,0.000000,0.000000,0.006196,0.001669,384
0.150000,causal_intervention_belief_revision_v5,2,1.000000,0.000000,0.000000,0.000000,0.729800,0.005515,0.875272,0.017178,0.000000,0.000000,0.006256,0.001697,384
0.150000,causal_intervention_belief_revision_v5,3,1.000000,0.000000,0.000000,0.000000,0.727955,0.005604,0.874241,0.017278,0.000000,0.000000,0.006258,0.001695,384
0.150000,causal_intervention_belief_revision_v5,4,1.000000,0.000000,0.000000,0.000000,0.728622,0.005390,0.873671,0.017123,0.000000,0.000000,0.006263,0.001694,384
0.150000,causal_intervention_belief_revision_v5,5,1.000000,0.000000,0.000000,0.000000,0.729059,0.005705,0.874031,0.017427,0.000000,0.000000,0.005997,0.001613,384
0.150000,causal_intervention_belief_revision_v5,6,1.000000,0.000000,0.000000,0.000000,0.727627,0.005466,0.874264,0.017157,0.000000,0.000000,0.005992,0.001615,384
0.150000,causal_intervention_belief_revision_v5,7,1.000000,0.000000,0.000000,0.000000,0.731025,0.005492,0.875479,0.017161,0.000000,0.000000,0.006341,0.001721,384
0.150000,causal_intervention_belief_revision_v5,8,1.000000,0.000000,0.000000,0.000000,0.729832,0.005488,0.876530,0.017102,0.000000,0.000000,0.006002,0.001625,384
