budget,method,seed,accepted,ci95_accepted,breach,ci95_breach,gated_success,ci95_gated_success,gated_utility,ci95_gated_utility,predicted_revision_risk,ci95_predicted_revision_risk,realized_revision_risk,ci95_realized_revision_risk,n
0.080000,active_inference_query_policy,0,0.138021,0.034544,0.085938,0.028070,0.088472,0.022166,0.021696,0.018068,0.132886,0.005551,0.164975,0.005069,384
0.080000,active_inference_query_policy,1,0.143229,0.035084,0.096354,0.029552,0.091534,0.022440,0.023025,0.018043,0.132758,0.005594,0.165742,0.005035,384
0.080000,active_inference_query_policy,2,0.140625,0.034816,0.083333,0.027680,0.090138,0.022332,0.022263,0.018031,0.133351,0.005516,0.165003,0.005028,384
0.080000,active_inference_query_policy,3,0.145833,0.035347,0.080729,0.027283,0.092504,0.022440,0.024094,0.018139,0.131686,0.005604,0.165749,0.005047,384
0.080000,active_inference_query_policy,4,0.143229,0.035084,0.096354,0.029552,0.091389,0.022413,0.023100,0.018090,0.133358,0.005591,0.165765,0.004959,384
0.080000,active_inference_query_policy,5,0.145833,0.035347,0.098958,0.029906,0.093015,0.022564,0.024127,0.018138,0.133153,0.005546,0.165764,0.005053,384
0.080000,active_inference_query_policy,6,0.132812,0.033989,0.088542,0.028451,0.085605,0.021917,0.019590,0.017873,0.132969,0.005546,0.166050,0.004987,384
0.080000,active_inference_query_policy,7,0.143229,0.035084,0.093750,0.029192,0.091440,0.022418,0.022934,0.018022,0.133383,0.005497,0.165909,0.004969,384
0.080000,active_inference_query_policy,8,0.145833,0.035347,0.088542,0.028451,0.092929,0.022545,0.023745,0.018059,0.133456,0.005616,0.165413,0.005094,384
0.080000,active_inference_query_policy,9,0.148438,0.035607,0.114583,0.031900,0.094697,0.022739,0.025399,0.018283,0.133296,0.005592,0.165593,0.004979,384
0.080000,causal_discovery_revision,0,0.747396,0.043516,0.518229,0.050042,0.456768,0.026808,0.300728,0.023491,0.066620,0.005012,0.109345,0.005020,384
0.080000,causal_discovery_revision,1,0.752604,0.043215,0.520833,0.050032,0.460772,0.026674,0.302221,0.023323,0.066424,0.004945,0.109396,0.005010,384
0.080000,causal_discovery_revision,2,0.747396,0.043516,0.528646,0.049993,0.456804,0.026819,0.299914,0.023427,0.067183,0.005052,0.109808,0.004973,384
0.080000,causal_discovery_revision,3,0.752604,0.043215,0.549479,0.049830,0.461150,0.026722,0.302164,0.023399,0.066562,0.004927,0.110277,0.004981,384
0.080000,causal_discovery_revision,4,0.744792,0.043664,0.513021,0.050059,0.455616,0.026931,0.299816,0.023538,0.066997,0.004918,0.109603,0.005021,384
0.080000,causal_discovery_revision,5,0.744792,0.043664,0.515625,0.050051,0.456764,0.026999,0.300379,0.023631,0.067350,0.004990,0.109294,0.004999,384
0.080000,causal_discovery_revision,6,0.750000,0.043367,0.523438,0.050021,0.457341,0.026672,0.299413,0.023332,0.066488,0.005015,0.109567,0.005042,384
0.080000,causal_discovery_revision,7,0.747396,0.043516,0.536458,0.049942,0.458501,0.026934,0.301090,0.023547,0.068026,0.004950,0.110336,0.004996,384
0.080000,causal_discovery_revision,8,0.752604,0.043215,0.528646,0.049993,0.460340,0.026670,0.301555,0.023452,0.067410,0.005021,0.109079,0.004982,384
0.080000,causal_discovery_revision,9,0.734375,0.044233,0.510417,0.050065,0.450294,0.027336,0.297486,0.023850,0.066967,0.005014,0.109314,0.004937,384
0.080000,causal_intervention_belief_revision_v5,0,1.000000,0.000000,0.000000,0.000000,0.730524,0.005582,0.875970,0.017264,0.000000,0.000000,0.005795,0.001564,384
0.080000,causal_intervention_belief_revision_v5,1,1.000000,0.000000,0.000000,0.000000,0.728329,0.005404,0.875709,0.017049,0.000000,0.000000,0.006196,0.001669,384
0.080000,causal_intervention_belief_revision_v5,2,1.000000,0.000000,0.000000,0.000000,0.729800,0.005515,0.875272,0.017178,0.000000,0.000000,0.006256,0.001697,384
0.080000,causal_intervention_belief_revision_v5,3,1.000000,0.000000,0.000000,0.000000,0.727955,0.005604,0.874241,0.017278,0.000000,0.000000,0.006258,0.001695,384
0.080000,causal_intervention_belief_revision_v5,4,1.000000,0.000000,0.000000,0.000000,0.728622,0.005390,0.873671,0.017123,0.000000,0.000000,0.006263,0.001694,384
0.080000,causal_intervention_belief_revision_v5,5,1.000000,0.000000,0.000000,0.000000,0.729059,0.005705,0.874031,0.017427,0.000000,0.000000,0.005997,0.001613,384
0.080000,causal_intervention_belief_revision_v5,6,1.000000,0.000000,0.000000,0.000000,0.727627,0.005466,0.874264,0.017157,0.000000,0.000000,0.005992,0.001615,384
0.080000,causal_intervention_belief_revision_v5,7,1.000000,0.000000,0.000000,0.000000,0.731025,0.005492,0.875479,0.017161,0.000000,0.000000,0.006341,0.001721,384
0.080000,causal_intervention_belief_revision_v5,8,1.000000,0.000000,0.000000,0.000000,0.729832,0.005488,0.876530,0.017102,0.000000,0.000000,0.006002,0.001625,384
0.080000,causal_intervention_belief_revision_v5,9,1.000000,0.000000,0.000000,0.000000,0.728947,0.005577,0.874481,0.017264,0.000000,0.000000,0.005981,0.001617,384
0.080000,conformal_intervention_filter,0,0.127604,0.033415,0.122396,0.032824,0.075642,0.019824,-0.000674,0.013013,0.141459,0.005661,0.180055,0.004995,384
0.080000,conformal_intervention_filter,1,0.132812,0.033989,0.127604,0.033415,0.078314,0.020056,0.000690,0.013099,0.141415,0.005601,0.180227,0.005053,384
0.080000,conformal_intervention_filter,2,0.130208,0.033704,0.127604,0.033415,0.077289,0.020022,0.000302,0.013128,0.141767,0.005590,0.180312,0.005079,384
0.080000,conformal_intervention_filter,3,0.127604,0.033415,0.125000,0.033122,0.075459,0.019773,-0.000356,0.013062,0.140850,0.005608,0.179335,0.005021,384
