baseline,success_delta,ci95_success_delta,success_wins,utility_delta,ci95_utility_delta,utility_wins,false_revision_delta,ci95_false_revision_delta,false_revision_wins,missed_violation_delta,ci95_missed_violation_delta,missed_violation_wins,belief_consistency_delta,ci95_belief_consistency_delta,belief_consistency_wins,recovery_success_delta,ci95_recovery_success_delta,recovery_success_wins,damage_rate_delta,ci95_damage_rate_delta,damage_rate_wins,intervention_cost_delta,ci95_intervention_cost_delta,intervention_cost_wins,revision_calibration_error_delta,ci95_revision_calibration_error_delta,revision_calibration_error_wins,unsafe_revision_delta,ci95_unsafe_revision_delta,unsafe_revision_wins,causal_attribution_f1_delta,ci95_causal_attribution_f1_delta,causal_attribution_f1_wins
active_inference_query_policy,0.174940,0.000546,10,0.728107,0.000552,10,-0.193087,0.000201,10,-0.226463,0.000226,10,0.290439,0.000324,10,0.268808,0.000283,10,-0.070931,0.000068,10,-0.054830,0.000223,10,-0.014245,0.000136,10,-0.134121,0.000111,10,0.250788,0.000394,10
causal_discovery_revision,0.137813,0.000635,10,0.533594,0.000611,10,-0.126149,0.000221,10,-0.159951,0.000453,10,0.197061,0.000357,10,0.201720,0.000266,10,-0.053790,0.000103,10,-0.069657,0.000170,10,-0.013407,0.000121,10,-0.097889,0.000124,10,0.160520,0.000342,10
conformal_intervention_filter,0.226674,0.000477,10,0.871420,0.000586,10,-0.214251,0.000147,10,-0.268711,0.000339,10,0.346766,0.000226,10,0.347976,0.000256,10,-0.074209,0.000124,10,-0.092850,0.000162,10,-0.008759,0.000167,10,-0.139829,0.000144,10,0.305151,0.000393,10
ensemble_disagreement_revision,0.251734,0.000526,10,0.990801,0.000610,10,-0.254525,0.000184,10,-0.304237,0.000396,10,0.385480,0.000372,10,0.368435,0.000263,10,-0.093956,0.000154,10,-0.088453,0.000217,10,-0.013129,0.000220,10,-0.174118,0.000128,10,0.333587,0.000357,10
human_intervention_revision,0.184874,0.000521,10,0.737597,0.000713,10,-0.187852,0.000211,10,-0.210325,0.000286,10,0.269236,0.000253,10,0.276987,0.000236,10,-0.070460,0.000195,10,-0.123986,0.000179,10,-0.015740,0.000213,10,-0.140055,0.000111,10,0.222315,0.000326,10
no_revision_belief,0.394678,0.000311,10,1.417502,0.000521,10,-0.357005,0.000165,10,-0.434957,0.000310,10,0.546310,0.000391,10,0.491201,0.000362,10,-0.133985,0.000135,10,-0.043993,0.000192,10,-0.040838,0.000200,10,-0.245841,0.000097,10,0.464018,0.000424,10
oracle_physical_belief_revision,-0.093475,0.000556,0,-0.183756,0.000754,0,0.012510,0.000156,0,0.044096,0.000268,0,-0.067442,0.000302,0,-0.063952,0.000341,0,0.014433,0.000115,0,0.011920,0.000157,0,0.009888,0.000139,0,0.006050,0.000061,0,-0.052620,0.000309,0
periodic_bayes_update,0.320435,0.000454,10,1.218712,0.000535,10,-0.315551,0.000201,10,-0.373937,0.000270,10,0.471809,0.000340,10,0.433669,0.000268,10,-0.116792,0.000177,10,-0.070821,0.000196,10,-0.023777,0.000202,10,-0.216452,0.000092,10,0.404788,0.000396,10
pomdp_belief_update,0.202847,0.000540,10,0.793817,0.000573,10,-0.207549,0.000276,10,-0.239030,0.000358,10,0.294906,0.000330,10,0.291796,0.000264,10,-0.075759,0.000100,10,-0.079250,0.000181,10,-0.010617,0.000218,10,-0.144980,0.000133,10,0.258869,0.000402,10
proposed_intervention_violation_revision_v4_1,0.072040,0.000410,10,0.352219,0.000623,10,-0.096660,0.000170,10,-0.105869,0.000293,10,0.128339,0.000272,10,0.121875,0.000301,10,-0.042723,0.000174,10,-0.048074,0.000159,10,-0.014953,0.000146,10,-0.078804,0.000108,10,0.106198,0.000384,10
scalar_uncertainty_trigger,0.290472,0.000574,10,1.132232,0.000681,10,-0.293386,0.000210,10,-0.347996,0.000243,10,0.441512,0.000337,10,0.414040,0.000279,10,-0.107569,0.000128,10,-0.084502,0.000168,10,-0.016487,0.000111,10,-0.200728,0.000131,10,0.379979,0.000313,10
