method,split,seed,success,ci95_success,utility,ci95_utility,false_revision,ci95_false_revision,missed_violation,ci95_missed_violation,belief_consistency,ci95_belief_consistency,recovery_success,ci95_recovery_success,damage_rate,ci95_damage_rate,intervention_cost,ci95_intervention_cost,revision_calibration_error,ci95_revision_calibration_error,unsafe_revision,ci95_unsafe_revision,causal_attribution_f1,ci95_causal_attribution_f1,n
active_inference_query_policy,combined_stress,0,0.554607,0.005563,0.146589,0.019748,0.215569,0.007067,0.345965,0.007840,0.524928,0.004932,0.473484,0.005175,0.179338,0.003334,0.383439,0.001341,0.067272,0.000847,0.140357,0.003315,0.499751,0.003847,384
active_inference_query_policy,combined_stress,1,0.554432,0.005476,0.146372,0.019615,0.215437,0.007035,0.346059,0.007859,0.526132,0.004974,0.473721,0.005097,0.179879,0.003289,0.383784,0.001337,0.067875,0.000815,0.140037,0.003335,0.500371,0.003850,384
active_inference_query_policy,combined_stress,2,0.555496,0.005509,0.146501,0.019688,0.215687,0.007100,0.346256,0.007771,0.525011,0.004996,0.472525,0.005168,0.180131,0.003247,0.383577,0.001422,0.066892,0.000795,0.140053,0.003328,0.498870,0.003827,384
active_inference_query_policy,combined_stress,3,0.555690,0.005384,0.147915,0.019750,0.215876,0.007180,0.345049,0.007954,0.526267,0.004979,0.474068,0.005077,0.179594,0.003319,0.383965,0.001357,0.068352,0.000830,0.140405,0.003350,0.498964,0.003792,384
active_inference_query_policy,combined_stress,4,0.553497,0.005527,0.145098,0.019786,0.215661,0.007140,0.346598,0.007843,0.525171,0.005035,0.473637,0.005178,0.178914,0.003326,0.384457,0.001401,0.067343,0.000868,0.140343,0.003372,0.499468,0.003821,384
active_inference_query_policy,combined_stress,5,0.554438,0.005662,0.146639,0.019757,0.216127,0.007034,0.345487,0.007852,0.525451,0.004830,0.474379,0.005130,0.179553,0.003281,0.383236,0.001348,0.067514,0.000822,0.140233,0.003316,0.499773,0.003785,384
active_inference_query_policy,combined_stress,6,0.555345,0.005417,0.146113,0.019519,0.216158,0.007069,0.346407,0.007731,0.525687,0.004997,0.473126,0.005001,0.179913,0.003322,0.383751,0.001399,0.067981,0.000847,0.140387,0.003348,0.499964,0.003772,384
active_inference_query_policy,combined_stress,7,0.554213,0.005428,0.145628,0.019604,0.215166,0.007152,0.346586,0.007747,0.525353,0.005038,0.473547,0.005124,0.179627,0.003288,0.383543,0.001394,0.067581,0.000784,0.140646,0.003325,0.498878,0.003758,384
active_inference_query_policy,combined_stress,8,0.553075,0.005582,0.144400,0.019837,0.215325,0.007042,0.347241,0.007885,0.525115,0.004989,0.472887,0.005175,0.179086,0.003302,0.384006,0.001368,0.067145,0.000867,0.140022,0.003343,0.499152,0.003800,384
active_inference_query_policy,combined_stress,9,0.552043,0.005562,0.143723,0.019815,0.215336,0.007092,0.346353,0.007804,0.525099,0.005070,0.473387,0.005188,0.179547,0.003328,0.383348,0.001357,0.067625,0.000814,0.140299,0.003357,0.499030,0.003766,384
