budget,method,coverage,breach_rate,gated_success,gated_utility,predicted_revision_risk,realized_revision_risk,n
0.080000,conformal_intervention_filter,0.128125,0.125521,0.075893,-0.000539,0.141530,0.180233,3840
0.080000,human_intervention_revision,0.133594,0.083333,0.084587,0.018608,0.137222,0.165112,3840
0.080000,active_inference_query_policy,0.142708,0.092708,0.091172,0.022997,0.133030,0.165596,3840
0.080000,causal_discovery_revision,0.747396,0.524479,0.457435,0.300477,0.067003,0.109602,3840
0.080000,proposed_intervention_violation_revision_v4_1,0.874740,0.295052,0.588288,0.499670,0.034161,0.077260,3840
0.080000,causal_intervention_belief_revision_v5,1.000000,0.000000,0.729172,0.874965,0.000000,0.006108,3840
0.080000,oracle_physical_belief_revision,1.000000,0.000000,0.822662,1.056864,0.000000,0.000306,3840
0.120000,conformal_intervention_filter,0.263021,0.138281,0.148452,0.025349,0.141530,0.180233,3840
0.120000,human_intervention_revision,0.287240,0.141927,0.173000,0.065533,0.137222,0.165112,3840
0.120000,active_inference_query_policy,0.318229,0.170573,0.192727,0.074578,0.133030,0.165596,3840
0.120000,causal_discovery_revision,0.875000,0.178125,0.530424,0.340560,0.067003,0.109602,3840
0.120000,proposed_intervention_violation_revision_v4_1,0.880990,0.007292,0.591758,0.500922,0.034161,0.077260,3840
0.120000,causal_intervention_belief_revision_v5,1.000000,0.000000,0.729172,0.874965,0.000000,0.006108,3840
0.120000,oracle_physical_belief_revision,1.000000,0.000000,0.822662,1.056864,0.000000,0.000306,3840
0.150000,conformal_intervention_filter,0.653906,0.431771,0.344873,0.046403,0.141530,0.180233,3840
0.150000,human_intervention_revision,0.718229,0.417708,0.407063,0.144143,0.137222,0.165112,3840
0.150000,active_inference_query_policy,0.758854,0.466406,0.435883,0.156914,0.133030,0.165596,3840
0.150000,causal_discovery_revision,0.875000,0.001563,0.530424,0.340560,0.067003,0.109602,3840
0.150000,proposed_intervention_violation_revision_v4_1,0.986719,0.111719,0.649920,0.519392,0.034161,0.077260,3840
0.150000,causal_intervention_belief_revision_v5,1.000000,0.000000,0.729172,0.874965,0.000000,0.006108,3840
0.150000,oracle_physical_belief_revision,1.000000,0.000000,0.822662,1.056864,0.000000,0.000306,3840
0.200000,conformal_intervention_filter,0.875000,0.076563,0.452714,0.045132,0.141530,0.180233,3840
0.200000,human_intervention_revision,0.875000,0.007292,0.489523,0.162306,0.137222,0.165112,3840
0.200000,active_inference_query_policy,0.875000,0.007812,0.498109,0.170844,0.133030,0.165596,3840
0.200000,causal_discovery_revision,0.999219,0.113281,0.590714,0.339775,0.067003,0.109602,3840
0.200000,proposed_intervention_violation_revision_v4_1,1.000000,0.001042,0.657171,0.521519,0.034161,0.077260,3840
0.200000,causal_intervention_belief_revision_v5,1.000000,0.000000,0.729172,0.874965,0.000000,0.006108,3840
0.200000,oracle_physical_belief_revision,1.000000,0.000000,0.822662,1.056864,0.000000,0.000306,3840
