ablation,task,regime,seed,episode,success,utility,description
full_causal_intervention_revision,occluded_drawer_recovery,nominal,0,0,0.845091,1.172792,all components
full_causal_intervention_revision,occluded_drawer_recovery,nominal,0,1,0.813796,1.161919,all components
full_causal_intervention_revision,occluded_drawer_recovery,nominal,0,2,0.820619,1.152171,all components
full_causal_intervention_revision,occluded_drawer_recovery,nominal,0,3,0.826238,1.171975,all components
full_causal_intervention_revision,occluded_drawer_recovery,nominal,0,4,0.795326,1.140163,all components
full_causal_intervention_revision,occluded_drawer_recovery,nominal,0,5,0.802899,1.146385,all components
full_causal_intervention_revision,occluded_drawer_recovery,nominal,0,6,0.844188,1.187604,all components
full_causal_intervention_revision,occluded_drawer_recovery,nominal,0,7,0.835405,1.156636,all components
full_causal_intervention_revision,occluded_drawer_recovery,nominal,1,0,0.833089,1.169788,all components
full_causal_intervention_revision,occluded_drawer_recovery,nominal,1,1,0.797959,1.141049,all components
full_causal_intervention_revision,occluded_drawer_recovery,nominal,1,2,0.823774,1.165588,all components
full_causal_intervention_revision,occluded_drawer_recovery,nominal,1,3,0.786910,1.143651,all components
full_causal_intervention_revision,occluded_drawer_recovery,nominal,1,4,0.829751,1.166590,all components
full_causal_intervention_revision,occluded_drawer_recovery,nominal,1,5,0.826642,1.160865,all components
full_causal_intervention_revision,occluded_drawer_recovery,nominal,1,6,0.812721,1.151968,all components
full_causal_intervention_revision,occluded_drawer_recovery,nominal,1,7,0.838543,1.172394,all components
full_causal_intervention_revision,occluded_drawer_recovery,nominal,2,0,0.812663,1.152488,all components
full_causal_intervention_revision,occluded_drawer_recovery,nominal,2,1,0.818567,1.156404,all components
full_causal_intervention_revision,occluded_drawer_recovery,nominal,2,2,0.829192,1.164184,all components
full_causal_intervention_revision,occluded_drawer_recovery,nominal,2,3,0.816582,1.146557,all components
full_causal_intervention_revision,occluded_drawer_recovery,nominal,2,4,0.832470,1.178674,all components
full_causal_intervention_revision,occluded_drawer_recovery,nominal,2,5,0.819040,1.159643,all components
full_causal_intervention_revision,occluded_drawer_recovery,nominal,2,6,0.838444,1.176712,all components
full_causal_intervention_revision,occluded_drawer_recovery,nominal,2,7,0.798233,1.134797,all components
full_causal_intervention_revision,occluded_drawer_recovery,nominal,3,0,0.809980,1.136724,all components
full_causal_intervention_revision,occluded_drawer_recovery,nominal,3,1,0.818272,1.164147,all components
full_causal_intervention_revision,occluded_drawer_recovery,nominal,3,2,0.824093,1.175643,all components
full_causal_intervention_revision,occluded_drawer_recovery,nominal,3,3,0.817239,1.152573,all components
full_causal_intervention_revision,occluded_drawer_recovery,nominal,3,4,0.805685,1.144343,all components
full_causal_intervention_revision,occluded_drawer_recovery,nominal,3,5,0.873172,1.197372,all components
full_causal_intervention_revision,occluded_drawer_recovery,nominal,3,6,0.806373,1.130113,all components
full_causal_intervention_revision,occluded_drawer_recovery,nominal,3,7,0.842841,1.173857,all components
full_causal_intervention_revision,occluded_drawer_recovery,nominal,4,0,0.828898,1.167050,all components
full_causal_intervention_revision,occluded_drawer_recovery,nominal,4,1,0.848030,1.178888,all components
full_causal_intervention_revision,occluded_drawer_recovery,nominal,4,2,0.855679,1.207525,all components
full_causal_intervention_revision,occluded_drawer_recovery,nominal,4,3,0.812844,1.152130,all components
full_causal_intervention_revision,occluded_drawer_recovery,nominal,4,4,0.821422,1.165036,all components
full_causal_intervention_revision,occluded_drawer_recovery,nominal,4,5,0.839066,1.185969,all components
full_causal_intervention_revision,occluded_drawer_recovery,nominal,4,6,0.810109,1.137406,all components
full_causal_intervention_revision,occluded_drawer_recovery,nominal,4,7,0.784144,1.123454,all components
