ablation,seed,description,success,ci95_success,utility,ci95_utility,n
minus_query_cost_model,4,does not price interventions,0.691665,0.006085,0.795841,0.018165,384
minus_query_cost_model,5,does not price interventions,0.692089,0.006327,0.796200,0.018464,384
minus_query_cost_model,6,does not price interventions,0.689813,0.006132,0.796434,0.018198,384
minus_query_cost_model,7,does not price interventions,0.693439,0.006193,0.797649,0.018207,384
minus_query_cost_model,8,does not price interventions,0.692590,0.006119,0.798699,0.018143,384
minus_query_cost_model,9,does not price interventions,0.691659,0.006256,0.796650,0.018305,384
minus_recovery_value,0,removes recovery-value term,0.690687,0.006252,0.813691,0.018387,384
minus_recovery_value,1,removes recovery-value term,0.688530,0.006093,0.813430,0.018166,384
minus_recovery_value,2,removes recovery-value term,0.689652,0.006263,0.812993,0.018296,384
minus_recovery_value,3,removes recovery-value term,0.687360,0.006318,0.811962,0.018395,384
minus_recovery_value,4,removes recovery-value term,0.688638,0.006114,0.811392,0.018246,384
minus_recovery_value,5,removes recovery-value term,0.688733,0.006398,0.811752,0.018544,384
minus_recovery_value,6,removes recovery-value term,0.687430,0.006131,0.811985,0.018279,384
minus_recovery_value,7,removes recovery-value term,0.690625,0.006194,0.813200,0.018288,384
minus_recovery_value,8,removes recovery-value term,0.689540,0.006256,0.814251,0.018223,384
minus_recovery_value,9,removes recovery-value term,0.689345,0.006281,0.812202,0.018385,384
