method,task,regime,split,success,ci95_success,utility,ci95_utility,false_revision,ci95_false_revision,missed_violation,ci95_missed_violation,belief_consistency,ci95_belief_consistency,recovery_success,ci95_recovery_success,damage_rate,ci95_damage_rate,intervention_cost,ci95_intervention_cost,revision_calibration_error,ci95_revision_calibration_error,unsafe_revision,ci95_unsafe_revision,causal_attribution_f1,ci95_causal_attribution_f1,n
active_inference_query_policy,bin_packing_recovery,actuator_model_break,combined_stress,0.536722,0.004043,0.084553,0.004454,0.189666,0.002243,0.392227,0.002101,0.542197,0.002898,0.443248,0.002582,0.221182,0.001311,0.381305,0.001501,0.066205,0.001879,0.134423,0.001534,0.511643,0.002754,80
active_inference_query_policy,bin_packing_recovery,actuator_model_break,in_distribution,0.632240,0.003336,0.420421,0.003963,0.130314,0.002420,0.233380,0.002069,0.586479,0.002124,0.492726,0.002395,0.191804,0.001288,0.233532,0.001626,0.071813,0.001712,0.100626,0.001466,0.512737,0.002479,80
active_inference_query_policy,bin_packing_recovery,actuator_model_break,long_horizon_recovery,0.574440,0.003348,0.217681,0.004075,0.152943,0.002134,0.337786,0.002315,0.566441,0.002498,0.443675,0.002456,0.205445,0.001141,0.330994,0.001492,0.068627,0.001548,0.121371,0.001342,0.511303,0.002493,80
active_inference_query_policy,bin_packing_recovery,actuator_model_break,new_operator_interventions,0.594335,0.003403,0.296987,0.004096,0.148642,0.002097,0.291134,0.002271,0.561949,0.002766,0.481733,0.002392,0.206682,0.001551,0.275071,0.001522,0.069433,0.001405,0.112940,0.001511,0.512927,0.002601,80
active_inference_query_policy,bin_packing_recovery,actuator_model_break,sparse_feedback,0.569661,0.004373,0.192696,0.004929,0.191157,0.002118,0.325398,0.002193,0.554713,0.002560,0.474880,0.002426,0.212062,0.001236,0.340860,0.001177,0.067798,0.001550,0.126440,0.001295,0.510919,0.002369,80
active_inference_query_policy,bin_packing_recovery,combined_intervention_stress,combined_stress,0.444457,0.003753,-0.276002,0.004343,0.374210,0.002072,0.463722,0.002062,0.415142,0.002472,0.399373,0.002399,0.245275,0.001212,0.410231,0.001625,0.060891,0.001458,0.212361,0.001367,0.421767,0.002068,80
active_inference_query_policy,bin_packing_recovery,combined_intervention_stress,in_distribution,0.537910,0.003772,0.063574,0.004282,0.310355,0.002283,0.301666,0.002101,0.459527,0.002847,0.451775,0.003103,0.216127,0.001548,0.262131,0.001402,0.067821,0.001754,0.177188,0.001538,0.420804,0.002893,80
active_inference_query_policy,bin_packing_recovery,combined_intervention_stress,long_horizon_recovery,0.477949,0.003979,-0.139688,0.004533,0.335206,0.002261,0.404384,0.002334,0.445375,0.002793,0.400428,0.002600,0.229125,0.001295,0.361704,0.001404,0.062749,0.001680,0.196440,0.001345,0.419012,0.002408,80
active_inference_query_policy,bin_packing_recovery,combined_intervention_stress,new_operator_interventions,0.501003,0.003702,-0.056419,0.004342,0.329992,0.002087,0.359044,0.001802,0.437849,0.002447,0.442331,0.002527,0.229425,0.001483,0.302211,0.001537,0.064118,0.001649,0.188826,0.001532,0.420184,0.002723,80
active_inference_query_policy,bin_packing_recovery,combined_intervention_stress,sparse_feedback,0.475615,0.003739,-0.164056,0.004286,0.373577,0.002329,0.392817,0.002531,0.430458,0.002557,0.433155,0.002361,0.235813,0.001408,0.369936,0.001537,0.063746,0.001835,0.202778,0.001352,0.417127,0.002517,80
