method,task,regime,split,success,ci95_success,utility,ci95_utility,false_revision,ci95_false_revision,missed_violation,ci95_missed_violation,belief_consistency,ci95_belief_consistency,recovery_success,ci95_recovery_success,damage_rate,ci95_damage_rate,intervention_cost,ci95_intervention_cost,revision_calibration_error,ci95_revision_calibration_error,unsafe_revision,ci95_unsafe_revision,causal_attribution_f1,ci95_causal_attribution_f1,n
active_inference_query_policy,bin_packing_recovery,contact_precondition_failure,combined_stress,0.550212,0.003557,0.127603,0.004543,0.177620,0.002305,0.376692,0.002069,0.550932,0.002470,0.453927,0.002262,0.215625,0.001213,0.376952,0.001577,0.067056,0.001714,0.131231,0.001516,0.519019,0.002920,80
active_inference_query_policy,bin_packing_recovery,contact_precondition_failure,in_distribution,0.644952,0.003547,0.464708,0.004542,0.116784,0.001872,0.215540,0.002381,0.593877,0.002953,0.504811,0.002333,0.187015,0.001177,0.231030,0.001377,0.073818,0.001781,0.095699,0.001452,0.520254,0.002812,80
active_inference_query_policy,bin_packing_recovery,contact_precondition_failure,long_horizon_recovery,0.588154,0.004144,0.261975,0.004839,0.141688,0.001834,0.321451,0.002287,0.574447,0.002852,0.456232,0.002827,0.199020,0.001194,0.328729,0.001836,0.068805,0.001701,0.116694,0.001455,0.517442,0.002628,80
active_inference_query_policy,bin_packing_recovery,contact_precondition_failure,new_operator_interventions,0.605366,0.003597,0.340636,0.004620,0.134811,0.002198,0.276095,0.002149,0.574511,0.002605,0.495430,0.002996,0.200917,0.001293,0.269061,0.001728,0.069676,0.001663,0.109496,0.001585,0.518889,0.002700,80
active_inference_query_policy,bin_packing_recovery,contact_precondition_failure,sparse_feedback,0.575900,0.004958,0.229642,0.005788,0.179069,0.001948,0.309009,0.002292,0.566396,0.002820,0.487009,0.002493,0.207461,0.001379,0.338647,0.001570,0.068199,0.001660,0.121933,0.001246,0.517836,0.002604,80
active_inference_query_policy,bin_packing_recovery,environment_change_intervention,combined_stress,0.523522,0.003754,0.031457,0.004196,0.210505,0.002303,0.408436,0.002038,0.530929,0.002868,0.430904,0.002562,0.227258,0.001344,0.383262,0.001468,0.065591,0.001467,0.145582,0.001177,0.501398,0.002458,80
active_inference_query_policy,bin_packing_recovery,environment_change_intervention,in_distribution,0.613048,0.003729,0.360589,0.004343,0.150256,0.002124,0.250303,0.002114,0.571098,0.002640,0.484419,0.002703,0.198511,0.001170,0.236884,0.001513,0.071218,0.001545,0.111418,0.001464,0.500941,0.002463,80
active_inference_query_policy,bin_packing_recovery,environment_change_intervention,long_horizon_recovery,0.558390,0.003555,0.163675,0.005048,0.174197,0.002214,0.352941,0.002829,0.553108,0.002324,0.432393,0.002485,0.209152,0.001355,0.334176,0.001480,0.067437,0.001562,0.131802,0.001272,0.499605,0.002464,80
active_inference_query_policy,bin_packing_recovery,environment_change_intervention,new_operator_interventions,0.583899,0.003939,0.244077,0.005000,0.169826,0.002030,0.310154,0.002207,0.548188,0.002702,0.471485,0.002788,0.212561,0.001226,0.277243,0.001620,0.068668,0.001460,0.124710,0.001524,0.502025,0.002559,80
active_inference_query_policy,bin_packing_recovery,environment_change_intervention,sparse_feedback,0.554584,0.003987,0.138712,0.004784,0.209192,0.002184,0.342284,0.002047,0.542785,0.002440,0.461339,0.002643,0.218894,0.001355,0.342544,0.001410,0.067980,0.001348,0.136230,0.001293,0.502333,0.002744,80
active_inference_query_policy,bin_packing_recovery,false_human_hint,combined_stress,0.552057,0.003742,0.138116,0.004605,0.269798,0.002232,0.287755,0.002211,0.492304,0.002498,0.512234,0.002962,0.183095,0.001226,0.387718,0.001777,0.067996,0.001620,0.157181,0.001492,0.472093,0.002764,80
active_inference_query_policy,bin_packing_recovery,false_human_hint,in_distribution,0.649179,0.003954,0.481445,0.004594,0.206654,0.001723,0.123946,0.002091,0.536945,0.002766,0.563935,0.002956,0.154697,0.001386,0.241746,0.001797,0.076228,0.001609,0.121517,0.001560,0.477234,0.002598,80
active_inference_query_policy,bin_packing_recovery,false_human_hint,long_horizon_recovery,0.595192,0.003643,0.278620,0.004541,0.233674,0.002426,0.231665,0.002103,0.517042,0.002741,0.513897,0.002289,0.166042,0.001322,0.340972,0.001560,0.070785,0.001585,0.142868,0.001208,0.475926,0.002126,80
active_inference_query_policy,bin_packing_recovery,false_human_hint,new_operator_interventions,0.614304,0.004710,0.358412,0.005231,0.226397,0.001934,0.187336,0.002302,0.517679,0.002931,0.553222,0.002932,0.167839,0.001282,0.281063,0.001603,0.072390,0.001607,0.135970,0.001343,0.474502,0.002432,80
active_inference_query_policy,bin_packing_recovery,false_human_hint,sparse_feedback,0.584841,0.004390,0.252688,0.005059,0.265983,0.002172,0.217620,0.002169,0.509603,0.002624,0.543699,0.002595,0.175410,0.001494,0.348005,0.001459,0.071380,0.001659,0.146610,0.001515,0.474973,0.002799,80
active_inference_query_policy,bin_packing_recovery,noisy_observation,combined_stress,0.586372,0.003574,0.276687,0.004447,0.192838,0.002100,0.264531,0.002259,0.537991,0.002671,0.527047,0.002763,0.176213,0.001437,0.383034,0.001418,0.071015,0.001834,0.115437,0.001505,0.508541,0.002530,80
active_inference_query_policy,bin_packing_recovery,noisy_observation,in_distribution,0.684430,0.004278,0.615283,0.004789,0.134093,0.002260,0.103658,0.002044,0.582246,0.002690,0.574879,0.002784,0.146679,0.001559,0.235640,0.001471,0.077317,0.001755,0.082465,0.001446,0.510004,0.002262,80
active_inference_query_policy,bin_packing_recovery,noisy_observation,long_horizon_recovery,0.626436,0.003851,0.410640,0.004902,0.160452,0.002310,0.206878,0.002032,0.558325,0.002861,0.525299,0.002433,0.159140,0.001369,0.335664,0.001474,0.072538,0.001444,0.102136,0.001393,0.507218,0.002502,80
active_inference_query_policy,bin_packing_recovery,noisy_observation,new_operator_interventions,0.647109,0.004095,0.492773,0.005111,0.151983,0.002214,0.164283,0.002428,0.559431,0.003033,0.566996,0.002732,0.160530,0.001382,0.276857,0.001493,0.075141,0.001728,0.094105,0.001610,0.509488,0.002479,80
active_inference_query_policy,bin_packing_recovery,noisy_observation,sparse_feedback,0.618943,0.003659,0.381584,0.005326,0.196024,0.002335,0.197820,0.002099,0.548381,0.002696,0.555507,0.002672,0.166901,0.001413,0.343351,0.001455,0.072468,0.001384,0.108667,0.001606,0.507798,0.002480,80
active_inference_query_policy,bin_packing_recovery,nominal,combined_stress,0.635958,0.003629,0.455157,0.004740,0.122867,0.002161,0.214486,0.002425,0.593472,0.002659,0.557168,0.002739,0.157891,0.001340,0.365414,0.001502,0.072138,0.001647,0.091936,0.001358,0.549554,0.002667,80
active_inference_query_policy,bin_packing_recovery,nominal,in_distribution,0.731965,0.004106,0.795940,0.004813,0.058548,0.001954,0.053642,0.002338,0.637426,0.002535,0.611886,0.002703,0.129449,0.001244,0.219296,0.001532,0.081413,0.001491,0.055788,0.001486,0.548004,0.002641,80
active_inference_query_policy,bin_packing_recovery,nominal,long_horizon_recovery,0.676064,0.003730,0.594681,0.004354,0.082762,0.001995,0.159545,0.002223,0.618559,0.002586,0.558026,0.002981,0.140752,0.001171,0.317054,0.001491,0.076038,0.001522,0.076058,0.001186,0.548405,0.002252,80
active_inference_query_policy,bin_packing_recovery,nominal,new_operator_interventions,0.698662,0.003940,0.678117,0.004615,0.078345,0.002117,0.113230,0.002154,0.617021,0.002609,0.598708,0.002758,0.141839,0.001189,0.259031,0.001666,0.077541,0.001562,0.067140,0.001380,0.546419,0.002949,80
active_inference_query_policy,bin_packing_recovery,nominal,sparse_feedback,0.670641,0.003626,0.570387,0.004257,0.121702,0.002371,0.145033,0.002097,0.606401,0.002641,0.590903,0.002926,0.147688,0.001253,0.326300,0.001675,0.076021,0.001760,0.080790,0.001471,0.549119,0.003223,80
active_inference_query_policy,bin_packing_recovery,physical_rule_violation,combined_stress,0.553436,0.004477,0.137814,0.005212,0.190231,0.001993,0.360181,0.002251,0.541995,0.002667,0.465692,0.002467,0.208303,0.001541,0.381178,0.001462,0.066867,0.001744,0.132532,0.001079,0.511061,0.002646,80
active_inference_query_policy,bin_packing_recovery,physical_rule_violation,in_distribution,0.643343,0.003628,0.472674,0.004286,0.127798,0.002335,0.198832,0.002392,0.587406,0.002840,0.518483,0.002256,0.179791,0.001242,0.232772,0.001671,0.074577,0.001636,0.096720,0.001429,0.510796,0.002706,80
active_inference_query_policy,bin_packing_recovery,physical_rule_violation,long_horizon_recovery,0.589637,0.004105,0.274060,0.005003,0.151799,0.001638,0.303509,0.002378,0.567020,0.002791,0.466262,0.002649,0.191932,0.001342,0.331871,0.001458,0.067982,0.001495,0.116917,0.001263,0.513037,0.002826,80
active_inference_query_policy,bin_packing_recovery,physical_rule_violation,new_operator_interventions,0.609369,0.004363,0.352183,0.004958,0.146896,0.002053,0.257657,0.002442,0.564800,0.002318,0.505945,0.002865,0.194240,0.001287,0.272857,0.001763,0.072408,0.001782,0.109730,0.001394,0.509409,0.002401,80
active_inference_query_policy,bin_packing_recovery,physical_rule_violation,sparse_feedback,0.580047,0.004152,0.240685,0.004517,0.189925,0.002010,0.293339,0.002348,0.556506,0.002410,0.495522,0.002632,0.200584,0.001125,0.340562,0.001480,0.070212,0.001831,0.123276,0.001478,0.515374,0.002574,80
active_inference_query_policy,deformable_contact_replan,actuator_model_break,combined_stress,0.537928,0.004041,0.091407,0.005085,0.189189,0.002308,0.395275,0.002200,0.542223,0.002411,0.444392,0.002934,0.210127,0.001361,0.381176,0.001664,0.067957,0.001721,0.135139,0.001378,0.510746,0.002261,80
active_inference_query_policy,deformable_contact_replan,actuator_model_break,in_distribution,0.631908,0.003899,0.428976,0.004325,0.128382,0.001854,0.231698,0.001909,0.586000,0.002476,0.491158,0.002836,0.182272,0.001309,0.233815,0.001522,0.073837,0.001854,0.098915,0.001507,0.511357,0.002896,80
active_inference_query_policy,deformable_contact_replan,actuator_model_break,long_horizon_recovery,0.576715,0.004438,0.227370,0.005137,0.153993,0.002011,0.337806,0.001956,0.567726,0.002279,0.445874,0.002718,0.194451,0.001281,0.333260,0.001513,0.068177,0.001328,0.121322,0.001493,0.510258,0.002597,80
active_inference_query_policy,deformable_contact_replan,actuator_model_break,new_operator_interventions,0.595942,0.003842,0.305204,0.004646,0.149117,0.001909,0.293776,0.001961,0.563988,0.002165,0.482582,0.002462,0.195609,0.001316,0.272529,0.001533,0.069663,0.001540,0.113652,0.001355,0.511141,0.002519,80
active_inference_query_policy,deformable_contact_replan,actuator_model_break,sparse_feedback,0.568620,0.003558,0.198429,0.004567,0.191194,0.002118,0.325444,0.001924,0.554525,0.002779,0.475943,0.002519,0.202969,0.001304,0.341173,0.001448,0.069711,0.001856,0.125493,0.001435,0.512314,0.002264,80
active_inference_query_policy,deformable_contact_replan,combined_intervention_stress,combined_stress,0.444502,0.004363,-0.263109,0.004778,0.370011,0.002224,0.459764,0.002499,0.417979,0.002598,0.397930,0.002914,0.235650,0.001336,0.409915,0.001475,0.061280,0.001765,0.211106,0.001316,0.418277,0.002353,80
active_inference_query_policy,deformable_contact_replan,combined_intervention_stress,in_distribution,0.539253,0.004173,0.071828,0.004983,0.310203,0.002104,0.300782,0.002077,0.459950,0.002763,0.452430,0.002823,0.207932,0.001195,0.263247,0.001456,0.067324,0.001552,0.176136,0.001423,0.419088,0.002652,80
active_inference_query_policy,deformable_contact_replan,combined_intervention_stress,long_horizon_recovery,0.479804,0.003828,-0.133010,0.004144,0.336492,0.002182,0.404257,0.002522,0.441316,0.002289,0.398628,0.002696,0.219052,0.001101,0.360809,0.001551,0.062965,0.001641,0.197403,0.001386,0.418037,0.002146,80
active_inference_query_policy,deformable_contact_replan,combined_intervention_stress,new_operator_interventions,0.506221,0.003503,-0.044499,0.004267,0.328924,0.002038,0.359354,0.002201,0.441876,0.002675,0.440182,0.002519,0.220274,0.001338,0.303409,0.001708,0.064125,0.001620,0.189326,0.001229,0.418207,0.002646,80
active_inference_query_policy,deformable_contact_replan,combined_intervention_stress,sparse_feedback,0.473658,0.004419,-0.157750,0.005183,0.369858,0.001898,0.392101,0.002083,0.428628,0.002302,0.431026,0.002637,0.227510,0.001296,0.369389,0.001485,0.062292,0.001625,0.202855,0.001297,0.416574,0.002547,80
active_inference_query_policy,deformable_contact_replan,contact_precondition_failure,combined_stress,0.554227,0.003916,0.136254,0.004310,0.179406,0.002131,0.376485,0.002130,0.549863,0.002651,0.453189,0.002862,0.207362,0.001519,0.376081,0.001588,0.066134,0.001500,0.132126,0.001384,0.520151,0.002948,80
active_inference_query_policy,deformable_contact_replan,contact_precondition_failure,in_distribution,0.646719,0.003994,0.472547,0.005512,0.118535,0.002249,0.216569,0.002134,0.595536,0.002791,0.505870,0.002838,0.176685,0.001117,0.230214,0.001569,0.072083,0.001607,0.097112,0.001503,0.519048,0.002652,80
active_inference_query_policy,deformable_contact_replan,contact_precondition_failure,long_horizon_recovery,0.588870,0.003789,0.270604,0.004882,0.143459,0.002191,0.319226,0.002023,0.576447,0.002630,0.453227,0.002722,0.189175,0.001548,0.328569,0.001604,0.068407,0.001629,0.116125,0.001477,0.519453,0.002686,80
active_inference_query_policy,deformable_contact_replan,contact_precondition_failure,new_operator_interventions,0.609259,0.003306,0.351044,0.003538,0.137096,0.002329,0.274476,0.001835,0.573552,0.002718,0.494643,0.002419,0.189501,0.001140,0.270543,0.001528,0.072593,0.001532,0.109608,0.001458,0.519656,0.002743,80
active_inference_query_policy,deformable_contact_replan,contact_precondition_failure,sparse_feedback,0.580724,0.003862,0.241180,0.004523,0.178948,0.002040,0.308035,0.001966,0.563070,0.002052,0.483536,0.002411,0.196570,0.001454,0.336811,0.001564,0.070208,0.001562,0.122525,0.001505,0.517315,0.002591,80
active_inference_query_policy,deformable_contact_replan,environment_change_intervention,combined_stress,0.529034,0.003446,0.042647,0.004394,0.209896,0.002356,0.409663,0.002227,0.528825,0.002847,0.432376,0.002646,0.217343,0.001301,0.383483,0.001517,0.066400,0.001609,0.146748,0.001377,0.501590,0.002481,80
active_inference_query_policy,deformable_contact_replan,environment_change_intervention,in_distribution,0.620568,0.003953,0.377363,0.004871,0.148416,0.002342,0.247602,0.002076,0.568352,0.002735,0.486039,0.002571,0.189348,0.001260,0.237408,0.001493,0.070860,0.001743,0.111625,0.001396,0.503244,0.002343,80
active_inference_query_policy,deformable_contact_replan,environment_change_intervention,long_horizon_recovery,0.563706,0.004014,0.175364,0.004925,0.173941,0.002092,0.354132,0.002393,0.555081,0.002428,0.432244,0.002883,0.200664,0.001431,0.333918,0.001704,0.067945,0.001590,0.130877,0.001473,0.502089,0.002584,80
active_inference_query_policy,deformable_contact_replan,environment_change_intervention,new_operator_interventions,0.585706,0.004543,0.256185,0.004972,0.169172,0.002056,0.308431,0.002161,0.552809,0.002892,0.472758,0.003058,0.202296,0.001133,0.277010,0.001400,0.069483,0.001508,0.124720,0.001501,0.502557,0.002728,80
active_inference_query_policy,deformable_contact_replan,environment_change_intervention,sparse_feedback,0.557892,0.004143,0.148883,0.004646,0.210863,0.002248,0.341723,0.002221,0.542790,0.002436,0.464658,0.002474,0.208584,0.001530,0.343363,0.001682,0.068667,0.001721,0.136848,0.001478,0.502589,0.002369,80
active_inference_query_policy,deformable_contact_replan,false_human_hint,combined_stress,0.555457,0.004282,0.149475,0.005208,0.268311,0.002231,0.287978,0.002506,0.493630,0.002682,0.510616,0.002451,0.173612,0.001362,0.388318,0.001367,0.067443,0.001764,0.157256,0.001266,0.477576,0.002891,80
active_inference_query_policy,deformable_contact_replan,false_human_hint,in_distribution,0.649374,0.004604,0.488032,0.004995,0.207444,0.002264,0.124841,0.002368,0.538007,0.002614,0.561315,0.002530,0.142837,0.001421,0.242036,0.001656,0.076345,0.001594,0.122357,0.001269,0.474689,0.002711,80
active_inference_query_policy,deformable_contact_replan,false_human_hint,long_horizon_recovery,0.596037,0.004128,0.285720,0.004774,0.233542,0.002150,0.231546,0.001937,0.519299,0.002266,0.510487,0.002516,0.157617,0.001101,0.340812,0.001700,0.071414,0.001717,0.142317,0.001553,0.476950,0.002563,80
active_inference_query_policy,deformable_contact_replan,false_human_hint,new_operator_interventions,0.617613,0.004326,0.369251,0.004939,0.226587,0.002530,0.186165,0.002154,0.515832,0.002734,0.552057,0.002791,0.158376,0.001179,0.280882,0.001386,0.073380,0.001510,0.133476,0.001484,0.473331,0.002209,80
active_inference_query_policy,deformable_contact_replan,false_human_hint,sparse_feedback,0.586737,0.004075,0.256079,0.004846,0.268499,0.002306,0.220680,0.001985,0.506791,0.002728,0.541778,0.002526,0.166278,0.001240,0.347857,0.001549,0.070488,0.001562,0.147579,0.001542,0.474456,0.002762,80
active_inference_query_policy,deformable_contact_replan,noisy_observation,combined_stress,0.590741,0.003608,0.285111,0.005246,0.195354,0.002004,0.264865,0.002855,0.533550,0.002512,0.526655,0.002723,0.165704,0.001438,0.382737,0.001693,0.069957,0.001579,0.117052,0.001359,0.507655,0.002338,80
active_inference_query_policy,deformable_contact_replan,noisy_observation,in_distribution,0.684724,0.004185,0.622647,0.004610,0.132981,0.001877,0.104603,0.002070,0.579037,0.002211,0.579070,0.002590,0.136281,0.001063,0.235852,0.001412,0.076752,0.001638,0.082871,0.001301,0.505238,0.002781,80
active_inference_query_policy,deformable_contact_replan,noisy_observation,long_horizon_recovery,0.629547,0.003981,0.421896,0.004534,0.158500,0.002221,0.209589,0.002292,0.560395,0.002117,0.526477,0.002759,0.148074,0.001201,0.333787,0.001543,0.073217,0.001635,0.102521,0.001343,0.507024,0.002853,80
active_inference_query_policy,deformable_contact_replan,noisy_observation,new_operator_interventions,0.649942,0.003690,0.504279,0.004457,0.151488,0.002186,0.163318,0.002206,0.560238,0.002645,0.567564,0.002866,0.150761,0.001293,0.276855,0.001644,0.074165,0.001491,0.093421,0.001437,0.508605,0.002598,80
active_inference_query_policy,deformable_contact_replan,noisy_observation,sparse_feedback,0.622222,0.003845,0.391907,0.004828,0.197819,0.002279,0.197129,0.002254,0.547132,0.002876,0.555776,0.002479,0.157740,0.001476,0.342647,0.001530,0.072082,0.001636,0.106321,0.001387,0.509173,0.002581,80
active_inference_query_policy,deformable_contact_replan,nominal,combined_stress,0.640349,0.003796,0.465904,0.004245,0.122272,0.002137,0.214798,0.002071,0.591234,0.002684,0.558371,0.002871,0.147722,0.001173,0.366379,0.001631,0.075470,0.001759,0.091631,0.001465,0.549881,0.002391,80
active_inference_query_policy,deformable_contact_replan,nominal,in_distribution,0.737956,0.004367,0.806265,0.005201,0.062433,0.002257,0.054050,0.002348,0.635218,0.002451,0.609821,0.002714,0.118119,0.001313,0.218342,0.001511,0.080979,0.001487,0.057091,0.001427,0.549871,0.002861,80
active_inference_query_policy,deformable_contact_replan,nominal,long_horizon_recovery,0.682552,0.003351,0.607126,0.004454,0.085741,0.002448,0.158888,0.002365,0.619551,0.002755,0.557279,0.002620,0.130200,0.001273,0.317945,0.001575,0.075335,0.001382,0.076458,0.001335,0.549021,0.002320,80
active_inference_query_policy,deformable_contact_replan,nominal,new_operator_interventions,0.702191,0.003937,0.689501,0.004859,0.079716,0.002262,0.111208,0.002042,0.619346,0.002504,0.600790,0.002991,0.132260,0.001270,0.260055,0.001565,0.077814,0.001739,0.068385,0.001398,0.549324,0.002609,80
active_inference_query_policy,deformable_contact_replan,nominal,sparse_feedback,0.674818,0.003868,0.580362,0.005211,0.121759,0.002225,0.145421,0.002537,0.606573,0.002564,0.591243,0.002506,0.138849,0.001124,0.326161,0.001452,0.076667,0.001656,0.081677,0.001373,0.550861,0.002684,80
active_inference_query_policy,deformable_contact_replan,physical_rule_violation,combined_stress,0.551352,0.003995,0.143882,0.004883,0.188476,0.002389,0.359421,0.002030,0.543074,0.002390,0.463816,0.002351,0.199623,0.001456,0.381038,0.001389,0.068636,0.001774,0.131523,0.001525,0.513951,0.002613,80
active_inference_query_policy,deformable_contact_replan,physical_rule_violation,in_distribution,0.644687,0.004265,0.480336,0.005017,0.126368,0.002243,0.199689,0.002166,0.586224,0.002881,0.516815,0.002756,0.170887,0.001430,0.233332,0.001500,0.073371,0.001497,0.096528,0.001341,0.512010,0.002649,80
active_inference_query_policy,deformable_contact_replan,physical_rule_violation,long_horizon_recovery,0.592267,0.003962,0.281384,0.004435,0.154606,0.002153,0.302533,0.002096,0.568433,0.002524,0.464444,0.002752,0.183326,0.001268,0.330735,0.001603,0.070679,0.001548,0.117003,0.001468,0.512525,0.002506,80
active_inference_query_policy,deformable_contact_replan,physical_rule_violation,new_operator_interventions,0.609137,0.003963,0.357599,0.004742,0.148100,0.002364,0.259084,0.002311,0.564098,0.002526,0.506394,0.002500,0.184313,0.001364,0.273229,0.001533,0.073106,0.001603,0.109201,0.001253,0.512650,0.002466,80
active_inference_query_policy,deformable_contact_replan,physical_rule_violation,sparse_feedback,0.581568,0.004313,0.251932,0.005234,0.190098,0.002380,0.290485,0.002301,0.555952,0.002961,0.496470,0.002627,0.190316,0.001385,0.340251,0.001616,0.069791,0.001682,0.122168,0.001419,0.513055,0.002407,80
active_inference_query_policy,mobile_base_intervention,actuator_model_break,combined_stress,0.545636,0.003748,0.120734,0.004606,0.188050,0.002244,0.395025,0.001971,0.542523,0.002960,0.444666,0.002398,0.180955,0.001319,0.381916,0.001391,0.066927,0.001617,0.136166,0.001513,0.512473,0.002243,80
active_inference_query_policy,mobile_base_intervention,actuator_model_break,in_distribution,0.639526,0.004050,0.459253,0.004644,0.126477,0.002026,0.232100,0.002414,0.586524,0.002577,0.495102,0.002684,0.152549,0.001370,0.234277,0.001554,0.073182,0.001672,0.099814,0.001169,0.510207,0.002452,80
active_inference_query_policy,mobile_base_intervention,actuator_model_break,long_horizon_recovery,0.583431,0.003918,0.256549,0.005167,0.153423,0.002282,0.338675,0.002157,0.568782,0.002655,0.446195,0.002315,0.164113,0.001460,0.332288,0.001659,0.067160,0.001685,0.121196,0.001690,0.512006,0.002744,80
active_inference_query_policy,mobile_base_intervention,actuator_model_break,new_operator_interventions,0.601464,0.003654,0.333630,0.004160,0.147988,0.002136,0.292218,0.002126,0.564394,0.002452,0.484126,0.002607,0.166171,0.001325,0.273604,0.001324,0.071626,0.001760,0.112481,0.001391,0.508860,0.002771,80
active_inference_query_policy,mobile_base_intervention,actuator_model_break,sparse_feedback,0.574894,0.004356,0.228843,0.005293,0.189842,0.002170,0.325130,0.002166,0.552879,0.002166,0.475914,0.002419,0.171507,0.001234,0.339203,0.001599,0.066174,0.001762,0.125565,0.001316,0.509979,0.002356,80
active_inference_query_policy,mobile_base_intervention,combined_intervention_stress,combined_stress,0.452601,0.003745,-0.235939,0.004840,0.371888,0.002110,0.461439,0.002215,0.419589,0.002542,0.399876,0.002998,0.206228,0.001216,0.410124,0.001847,0.061466,0.001518,0.211517,0.001386,0.416638,0.002912,80
active_inference_query_policy,mobile_base_intervention,combined_intervention_stress,in_distribution,0.546252,0.004015,0.101914,0.004832,0.309273,0.002256,0.300325,0.002201,0.460584,0.002677,0.452642,0.002429,0.177425,0.001320,0.263091,0.001390,0.066436,0.001848,0.176279,0.001566,0.419170,0.002525,80
active_inference_query_policy,mobile_base_intervention,combined_intervention_stress,long_horizon_recovery,0.486014,0.004239,-0.103101,0.004961,0.336454,0.002329,0.403319,0.002190,0.442682,0.002581,0.399842,0.002648,0.189194,0.001330,0.359926,0.001362,0.061483,0.001607,0.195654,0.001453,0.415931,0.002589,80
active_inference_query_policy,mobile_base_intervention,combined_intervention_stress,new_operator_interventions,0.512087,0.004007,-0.017360,0.004380,0.328324,0.002250,0.359022,0.002064,0.438369,0.002476,0.440484,0.002504,0.191331,0.001250,0.302650,0.001460,0.064403,0.001406,0.188114,0.001352,0.418918,0.002791,80
active_inference_query_policy,mobile_base_intervention,combined_intervention_stress,sparse_feedback,0.482939,0.004178,-0.127486,0.005107,0.373337,0.002223,0.391954,0.002399,0.430641,0.002656,0.430381,0.002637,0.196149,0.001366,0.369688,0.001544,0.062187,0.001666,0.202527,0.001408,0.418785,0.002668,80
active_inference_query_policy,mobile_base_intervention,contact_precondition_failure,combined_stress,0.560114,0.003219,0.163850,0.004218,0.180131,0.002605,0.378534,0.002081,0.552722,0.002654,0.454964,0.002552,0.174752,0.001379,0.377540,0.001568,0.068071,0.001484,0.131749,0.001504,0.517784,0.002519,80
